seq_no=135,	ch0=   0, ch1= 537, ch2= 679, ch3= 144, ch4=  38, ch5= 456, ts=1714038074662702,	delta=929,
seq_no=136,	ch0=   0, ch1= 429, ch2= 764, ch3= 224, ch4=  13, ch5= 450, ts=1714038074663463,	delta=761,
seq_no=137,	ch0=  49, ch1= 320, ch2= 806, ch3= 297, ch4=   0, ch5= 457, ts=1714038074664296,	delta=833,
seq_no=138,	ch0= 117, ch1= 162, ch2= 847, ch3= 361, ch4=  50, ch5= 346, ts=1714038074665137,	delta=841,
seq_no=139,	ch0= 295, ch1= 116, ch2= 856, ch3= 404, ch4=   0, ch5= 287, ts=1714038074665982,	delta=845,
seq_no=140,	ch0= 299, ch1=  48, ch2= 821, ch3= 410, ch4=   0, ch5= 222, ts=1714038074666828,	delta=846,
seq_no=141,	ch0= 413, ch1=  18, ch2= 824, ch3= 475, ch4=  29, ch5= 153, ts=1714038074667661,	delta=833,
seq_no=142,	ch0= 496, ch1= 101, ch2= 658, ch3= 508, ch4=  97, ch5=  48, ts=1714038074668504,	delta=843,
seq_no=143,	ch0= 612, ch1=   0, ch2= 583, ch3= 502, ch4=  64, ch5=  33, ts=1714038074669346,	delta=842,
seq_no=144,	ch0= 666, ch1=   0, ch2= 455, ch3= 474, ch4= 205, ch5=   5, ts=1714038074670188,	delta=842,
seq_no=145,	ch0= 736, ch1=  54, ch2= 332, ch3= 439, ch4= 273, ch5=   0, ts=1714038074671038,	delta=850,
seq_no=146,	ch0= 757, ch1= 146, ch2= 224, ch3= 383, ch4= 326, ch5=   0, ts=1714038074671883,	delta=845,
seq_no=147,	ch0= 761, ch1= 229, ch2= 129, ch3= 312, ch4= 373, ch5=   0, ts=1714038074672712,	delta=829,
seq_no=148,	ch0= 719, ch1= 338, ch2=  43, ch3= 237, ch4= 397, ch5=  12, ts=1714038074673557,	delta=845,
seq_no=149,	ch0= 658, ch1= 443, ch2=   0, ch3= 149, ch4= 410, ch5=  41, ts=1714038074674397,	delta=840,
seq_no=150,	ch0= 593, ch1= 558, ch2=   0, ch3= 106, ch4= 448, ch5=  98, ts=1714038074675246,	delta=849,
seq_no=151,	ch0= 514, ch1= 649, ch2=   0, ch3=  64, ch4= 434, ch5= 160, ts=1714038074676082,	delta=836,
seq_no=152,	ch0= 396, ch1= 692, ch2=   0, ch3=  18, ch4= 404, ch5= 238, ts=1714038074676922,	delta=840,
seq_no=153,	ch0= 374, ch1= 745, ch2= 101, ch3=   0, ch4= 341, ch5= 302, ts=1714038074677765,	delta=843,
seq_no=154,	ch0= 157, ch1= 788, ch2= 167, ch3=   0, ch4= 302, ch5= 386, ts=1714038074678642,	delta=877,
seq_no=155,	ch0= 100, ch1= 812, ch2= 321, ch3=   0, ch4= 265, ch5= 413, ts=1714038074679452,	delta=810,
seq_no=156,	ch0=  40, ch1= 750, ch2= 383, ch3=   0, ch4= 181, ch5= 454, ts=1714038074680294,	delta=842,
seq_no=157,	ch0=   0, ch1= 692, ch2= 505, ch3=  40, ch4= 123, ch5= 469, ts=1714038074681130,	delta=836,
seq_no=158,	ch0=   0, ch1= 605, ch2= 618, ch3=  94, ch4=  66, ch5= 468, ts=1714038074682159,	delta=1029,
seq_no=159,	ch0=   0, ch1= 511, ch2= 704, ch3= 165, ch4=  32, ch5= 455, ts=1714038074682870,	delta=711,
seq_no=160,	ch0=   0, ch1= 408, ch2= 784, ch3= 237, ch4=   0, ch5= 426, ts=1714038074683671,	delta=801,
seq_no=161,	ch0=  56, ch1= 363, ch2= 832, ch3= 325, ch4=   0, ch5= 378, ts=1714038074684511,	delta=840,
seq_no=162,	ch0= 155, ch1= 180, ch2= 851, ch3= 370, ch4=   0, ch5= 342, ts=1714038074685347,	delta=836,
seq_no=163,	ch0= 202, ch1=  97, ch2= 838, ch3= 430, ch4=   0, ch5= 279, ts=1714038074686187,	delta=840,
seq_no=164,	ch0= 337, ch1=  28, ch2= 884, ch3= 448, ch4=   0, ch5= 201, ts=1714038074687038,	delta=851,
seq_no=165,	ch0= 501, ch1=   0, ch2= 689, ch3= 484, ch4=  64, ch5= 186, ts=1714038074687871,	delta=833,
seq_no=166,	ch0= 539, ch1=   0, ch2= 641, ch3= 487, ch4= 173, ch5=  57, ts=1714038074688712,	delta=841,
seq_no=167,	ch0= 736, ch1=   0, ch2= 596, ch3= 500, ch4= 116, ch5=  29, ts=1714038074689552,	delta=840,
seq_no=168,	ch0= 693, ch1=  17, ch2= 427, ch3= 467, ch4= 225, ch5=   0, ts=1714038074690399,	delta=847,
seq_no=169,	ch0= 736, ch1=  72, ch2= 309, ch3= 431, ch4= 282, ch5=   0, ts=1714038074691244,	delta=845,
seq_no=170,	ch0= 762, ch1= 152, ch2= 202, ch3= 381, ch4= 337, ch5=   0, ts=1714038074692080,	delta=836,
seq_no=171,	ch0= 748, ch1= 261, ch2= 100, ch3= 290, ch4= 379, ch5=   0, ts=1714038074692922,	delta=842,
seq_no=172,	ch0= 718, ch1= 368, ch2=  36, ch3= 218, ch4= 405, ch5=  18, ts=1714038074693762,	delta=840,
seq_no=173,	ch0= 649, ch1= 476, ch2=   0, ch3= 149, ch4= 429, ch5=  48, ts=1714038074694650,	delta=888,
seq_no=174,	ch0= 590, ch1= 577, ch2=   0, ch3= 101, ch4= 428, ch5= 109, ts=1714038074695450,	delta=800,
seq_no=175,	ch0= 482, ch1= 651, ch2=   0, ch3=  54, ch4= 425, ch5= 172, ts=1714038074696288,	delta=838,
seq_no=176,	ch0= 405, ch1= 717, ch2=  36, ch3=  10, ch4= 380, ch5= 253, ts=1714038074697132,	delta=844,
seq_no=177,	ch0= 238, ch1= 758, ch2=  71, ch3=   0, ch4= 354, ch5= 326, ts=1714038074697971,	delta=839,
seq_no=178,	ch0= 178, ch1= 812, ch2= 234, ch3=   0, ch4= 343, ch5= 380, ts=1714038074698817,	delta=846,
seq_no=179,	ch0=  93, ch1= 879, ch2= 273, ch3=   0, ch4= 244, ch5= 375, ts=1714038074699655,	delta=838,
seq_no=180,	ch0=  16, ch1= 736, ch2= 417, ch3=   0, ch4= 165, ch5= 454, ts=1714038074700499,	delta=844,
seq_no=181,	ch0=   0, ch1= 672, ch2= 532, ch3=  51, ch4= 106, ch5= 472, ts=1714038074701340,	delta=841,
seq_no=182,	ch0=   0, ch1= 585, ch2= 631, ch3= 114, ch4=  53, ch5= 463, ts=1714038074702181,	delta=841,
seq_no=183,	ch0=   0, ch1= 491, ch2= 729, ch3= 185, ch4=  25, ch5= 450, ts=1714038074703030,	delta=849,
seq_no=184,	ch0=  13, ch1= 375, ch2= 801, ch3= 262, ch4=   0, ch5= 426, ts=1714038074703866,	delta=836,
seq_no=185,	ch0=  73, ch1= 245, ch2= 846, ch3= 320, ch4=   0, ch5= 381, ts=1714038074704707,	delta=841,
seq_no=186,	ch0= 130, ch1= 166, ch2= 854, ch3= 419, ch4=   0, ch5= 340, ts=1714038074705548,	delta=841,
seq_no=187,	ch0= 250, ch1=  87, ch2= 835, ch3= 420, ch4=   0, ch5= 258, ts=1714038074706389,	delta=841,
seq_no=188,	ch0= 361, ch1=  17, ch2= 736, ch3= 462, ch4=  17, ch5= 252, ts=1714038074707240,	delta=851,
