seq_no=142,	ch0=   0, ch1=1331, ch2=1130, ch3=   0, ch4= 921, ch5= 795, ts=1712137735356671,	delta=842,
seq_no=143,	ch0=  34, ch1=1480, ch2= 889, ch3=   1, ch4=1018, ch5= 621, ts=1712137735357520,	delta=849,
seq_no=144,	ch0= 158, ch1=1577, ch2= 663, ch3=  57, ch4=1081, ch5= 457, ts=1712137735358358,	delta=838,
seq_no=145,	ch0= 292, ch1=1615, ch2= 448, ch3= 207, ch4=1115, ch5= 302, ts=1712137735359201,	delta=843,
seq_no=146,	ch0= 507, ch1=1648, ch2= 233, ch3= 329, ch4=1114, ch5= 149, ts=1712137735360041,	delta=840,
seq_no=147,	ch0= 681, ch1=1513, ch2=  85, ch3= 522, ch4=1068, ch5=  84, ts=1712137735360883,	delta=842,
seq_no=148,	ch0= 984, ch1=1407, ch2=   0, ch3= 679, ch4= 980, ch5=   0, ts=1712137735361736,	delta=853,
seq_no=149,	ch0=1023, ch1=1208, ch2=   0, ch3= 889, ch4= 864, ch5=  18, ts=1712137735362658,	delta=922,
seq_no=150,	ch0=1286, ch1=1017, ch2=   0, ch3= 962, ch4= 745, ch5=  43, ts=1712137735363428,	delta=770,
seq_no=151,	ch0=1425, ch1= 827, ch2=  53, ch3=1067, ch4= 583, ch5=   0, ts=1712137735364264,	delta=836,
seq_no=152,	ch0=1513, ch1= 610, ch2= 194, ch3=1144, ch4= 414, ch5=  82, ts=1712137735365097,	delta=833,
seq_no=153,	ch0=1549, ch1= 405, ch2= 375, ch3=1197, ch4= 273, ch5= 205, ts=1712137735365956,	delta=859,
seq_no=154,	ch0=1527, ch1= 229, ch2= 600, ch3=1216, ch4= 151, ch5= 348, ts=1712137735366782,	delta=826,
seq_no=155,	ch0=1448, ch1=  82, ch2= 829, ch3=1185, ch4=  58, ch5= 521, ts=1712137735367625,	delta=843,
seq_no=156,	ch0=1325, ch1=   0, ch2=1053, ch3=1109, ch4=   0, ch5= 675, ts=1712137735368464,	delta=839,
seq_no=157,	ch0=1167, ch1=   0, ch2=1269, ch3= 992, ch4=   0, ch5= 832, ts=1712137735369309,	delta=845,
