seq_no=149,	ch0=2464, ch1= 944, ch2= 523, ch3= 289, ch4= 337, ch5=   4, ts=1714037838415785,	delta=832,
seq_no=150,	ch0=2447, ch1=1368, ch2= 182, ch3= 220, ch4= 359, ch5=  12, ts=1714037838416625,	delta=840,
seq_no=151,	ch0=2417, ch1=1807, ch2=   1, ch3= 157, ch4= 372, ch5=  29, ts=1714037838417466,	delta=841,
seq_no=152,	ch0=2347, ch1=2195, ch2=   9, ch3=  98, ch4= 375, ch5=  83, ts=1714037838418310,	delta=844,
seq_no=153,	ch0=2016, ch1=2476, ch2=   5, ch3=  53, ch4= 373, ch5= 122, ts=1714037838419160,	delta=850,
seq_no=154,	ch0=1619, ch1=2524, ch2=  10, ch3=  17, ch4= 363, ch5= 245, ts=1714037838419993,	delta=833,
seq_no=155,	ch0=1191, ch1=2525, ch2= 279, ch3=   0, ch4= 379, ch5= 238, ts=1714037838420836,	delta=843,
seq_no=156,	ch0= 736, ch1=2552, ch2= 638, ch3=  64, ch4= 273, ch5= 310, ts=1714037838421678,	delta=842,
seq_no=157,	ch0= 433, ch1=2560, ch2=1063, ch3=  10, ch4= 232, ch5= 341, ts=1714037838422523,	delta=845,
seq_no=158,	ch0= 179, ch1=2530, ch2=1510, ch3=   4, ch4= 150, ch5= 279, ts=1714037838423595,	delta=1072,
seq_no=159,	ch0=   8, ch1=2506, ch2=2008, ch3=  66, ch4= 141, ch5= 358, ts=1714037838424269,	delta=674,
seq_no=160,	ch0=   0, ch1=2411, ch2=2403, ch3= 178, ch4=  52, ch5= 385, ts=1714037838425068,	delta=799,
seq_no=161,	ch0=   0, ch1=2040, ch2=2653, ch3= 161, ch4=  23, ch5= 376, ts=1714037838425901,	delta=833,
seq_no=162,	ch0=  24, ch1=1628, ch2=2687, ch3= 239, ch4=   2, ch5= 360, ts=1714037838426805,	delta=904,
seq_no=163,	ch0= 261, ch1=1188, ch2=2726, ch3= 290, ch4=   0, ch5= 335, ts=1714037838427592,	delta=787,
seq_no=164,	ch0= 584, ch1= 800, ch2=2743, ch3= 343, ch4=   0, ch5= 287, ts=1714037838428424,	delta=832,
seq_no=165,	ch0= 972, ch1= 440, ch2=2736, ch3= 392, ch4=   0, ch5= 225, ts=1714037838429261,	delta=837,
seq_no=166,	ch0=1351, ch1= 145, ch2=2705, ch3= 423, ch4=   6, ch5= 167, ts=1714037838430103,	delta=842,
seq_no=167,	ch0=1777, ch1=   0, ch2=2680, ch3= 452, ch4=  39, ch5= 108, ts=1714037838430956,	delta=853,
seq_no=168,	ch0=2161, ch1=   0, ch2=2595, ch3= 462, ch4=  77, ch5=  69, ts=1714037838431790,	delta=834,
seq_no=169,	ch0=2392, ch1=  10, ch2=2173, ch3= 427, ch4= 133, ch5=  39, ts=1714037838432627,	delta=837,
seq_no=170,	ch0=2434, ch1=  66, ch2=1613, ch3= 419, ch4= 181, ch5= 103, ts=1714037838433473,	delta=846,
seq_no=171,	ch0=2476, ch1= 361, ch2=1248, ch3= 418, ch4= 270, ch5=   0, ts=1714037838434311,	delta=838,
seq_no=172,	ch0=2456, ch1= 635, ch2= 859, ch3= 364, ch4= 269, ch5=   0, ts=1714037838435166,	delta=855,
seq_no=173,	ch0=2461, ch1=1047, ch2= 414, ch3= 271, ch4= 340, ch5=   0, ts=1714037838436000,	delta=834,
seq_no=174,	ch0=2444, ch1=1472, ch2= 106, ch3= 203, ch4= 372, ch5=  21, ts=1714037838436843,	delta=843,
seq_no=175,	ch0=2403, ch1=1895, ch2=   1, ch3= 140, ch4= 372, ch5=  37, ts=1714037838437684,	delta=841,
