seq_no=116,	ch0=  56, ch1= 299, ch2= 816, ch3= 334, ch4=   0, ch5= 428, ts=1714038040082135,	delta=909,
seq_no=117,	ch0= 132, ch1= 198, ch2= 854, ch3= 407, ch4=   0, ch5= 368, ts=1714038040082950,	delta=815,
seq_no=118,	ch0= 232, ch1=  83, ch2= 840, ch3= 459, ch4=   0, ch5= 301, ts=1714038040083764,	delta=814,
seq_no=119,	ch0= 327, ch1=  45, ch2= 819, ch3= 496, ch4=   0, ch5= 228, ts=1714038040084835,	delta=1071,
seq_no=120,	ch0= 426, ch1=   0, ch2= 750, ch3= 509, ch4=  45, ch5= 173, ts=1714038040085499,	delta=664,
seq_no=121,	ch0= 532, ch1=   0, ch2= 661, ch3= 546, ch4= 106, ch5=  86, ts=1714038040086302,	delta=803,
seq_no=122,	ch0= 654, ch1=   2, ch2= 498, ch3= 538, ch4= 192, ch5= 108, ts=1714038040087675,	delta=1373,
seq_no=123,	ch0= 714, ch1=  64, ch2= 436, ch3= 524, ch4= 235, ch5=   0, ts=1714038040088003,	delta=328,
seq_no=124,	ch0= 879, ch1=  50, ch2= 334, ch3= 480, ch4= 260, ch5=   0, ts=1714038040088817,	delta=814,
seq_no=125,	ch0= 754, ch1= 148, ch2= 217, ch3= 422, ch4= 370, ch5=   0, ts=1714038040089649,	delta=832,
seq_no=126,	ch0= 757, ch1= 242, ch2= 110, ch3= 346, ch4= 417, ch5=   0, ts=1714038040090489,	delta=840,
seq_no=127,	ch0= 726, ch1= 346, ch2=  34, ch3= 267, ch4= 461, ch5=  14, ts=1714038040091352,	delta=863,
seq_no=128,	ch0= 662, ch1= 463, ch2=   0, ch3= 192, ch4= 486, ch5=  58, ts=1714038040092181,	delta=829,
seq_no=129,	ch0= 585, ch1= 560, ch2=   0, ch3= 103, ch4= 481, ch5= 117, ts=1714038040093023,	delta=842,
seq_no=130,	ch0= 482, ch1= 650, ch2=   0, ch3=  37, ch4= 472, ch5= 204, ts=1714038040093859,	delta=836,
seq_no=131,	ch0= 390, ch1= 719, ch2=   0, ch3=  18, ch4= 443, ch5= 354, ts=1714038040094711,	delta=852,
seq_no=132,	ch0= 281, ch1= 855, ch2=  82, ch3=   0, ch4= 398, ch5= 306, ts=1714038040095597,	delta=886,
seq_no=133,	ch0= 182, ch1= 769, ch2= 171, ch3=   0, ch4= 354, ch5= 383, ts=1714038040096388,	delta=791,
seq_no=134,	ch0=   0, ch1= 774, ch2= 276, ch3=  49, ch4= 261, ch5= 454, ts=1714038040097226,	delta=838,
seq_no=135,	ch0=   0, ch1= 791, ch2= 418, ch3=   0, ch4= 198, ch5= 480, ts=1714038040098064,	delta=838,
seq_no=136,	ch0=   0, ch1= 653, ch2= 436, ch3=  50, ch4= 133, ch5= 593, ts=1714038040098930,	delta=866,
seq_no=137,	ch0=   0, ch1= 583, ch2= 620, ch3= 118, ch4=  80, ch5= 512, ts=1714038040099752,	delta=822,
seq_no=138,	ch0=   0, ch1= 490, ch2= 713, ch3= 199, ch4=  44, ch5= 502, ts=1714038040100589,	delta=837,
seq_no=139,	ch0=  10, ch1= 393, ch2= 786, ch3= 272, ch4=   0, ch5= 458, ts=1714038040101433,	delta=844,
seq_no=140,	ch0=  78, ch1= 277, ch2= 832, ch3= 345, ch4=   0, ch5= 412, ts=1714038040102275,	delta=842,
seq_no=141,	ch0= 161, ch1= 180, ch2= 864, ch3= 407, ch4=   0, ch5= 353, ts=1714038040103124,	delta=849,
seq_no=142,	ch0= 256, ch1=  97, ch2= 835, ch3= 469, ch4=   0, ch5= 277, ts=1714038040103960,	delta=836,
seq_no=143,	ch0= 354, ch1=  33, ch2= 804, ch3= 510, ch4=   0, ch5= 201, ts=1714038040104799,	delta=839,
seq_no=144,	ch0= 434, ch1=   0, ch2= 733, ch3= 545, ch4=  47, ch5= 141, ts=1714038040105641,	delta=842,
