seq_no=152,	ch0=2332, ch1= 434, ch2= 632, ch3=1030, ch4=1049, ch5=   0, ts=1714036808848032,	delta=838,
seq_no=153,	ch0=2323, ch1= 846, ch2= 383, ch3= 853, ch4=1056, ch5=   0, ts=1714036808848870,	delta=838,
seq_no=154,	ch0=2157, ch1=1216, ch2= 126, ch3= 615, ch4=1167, ch5=  80, ts=1714036808849713,	delta=843,
seq_no=155,	ch0=1984, ch1=1487, ch2=   0, ch3= 462, ch4=1231, ch5= 192, ts=1714036808850608,	delta=895,
seq_no=156,	ch0=1740, ch1=1789, ch2=   2, ch3= 311, ch4=1256, ch5= 369, ts=1714036808851408,	delta=800,
seq_no=157,	ch0=1447, ch1=2049, ch2=   0, ch3= 184, ch4=1223, ch5= 561, ts=1714036808852245,	delta=837,
seq_no=158,	ch0=1134, ch1=2264, ch2= 132, ch3=  82, ch4=1152, ch5= 759, ts=1714036808853294,	delta=1049,
seq_no=159,	ch0= 832, ch1=2383, ch2= 356, ch3=  10, ch4=1039, ch5= 929, ts=1714036808853966,	delta=672,
seq_no=160,	ch0= 537, ch1=2334, ch2= 649, ch3=   0, ch4= 943, ch5=1073, ts=1714036808854796,	delta=830,
seq_no=161,	ch0= 334, ch1=2369, ch2= 992, ch3=   0, ch4= 666, ch5=1198, ts=1714036808855618,	delta=822,
seq_no=162,	ch0=  64, ch1=2246, ch2=1311, ch3=  20, ch4= 501, ch5=1295, ts=1714036808856459,	delta=841,
seq_no=163,	ch0=   0, ch1=2039, ch2=1624, ch3= 163, ch4= 357, ch5=1392, ts=1714036808857299,	delta=840,
seq_no=164,	ch0=   0, ch1=1676, ch2=1948, ch3= 332, ch4= 290, ch5=1344, ts=1714036808858139,	delta=840,
seq_no=165,	ch0=  46, ch1=1472, ch2=2268, ch3= 556, ch4=  84, ch5=1336, ts=1714036808858992,	delta=853,
seq_no=166,	ch0=  87, ch1=1217, ch2=2489, ch3= 736, ch4=  26, ch5=1249, ts=1714036808859825,	delta=833,
seq_no=167,	ch0= 304, ch1= 835, ch2=2559, ch3= 936, ch4=   0, ch5=1124, ts=1714036808860667,	delta=842,
seq_no=168,	ch0= 577, ch1= 531, ch2=2604, ch3=1102, ch4=   0, ch5= 944, ts=1714036808861511,	delta=844,
seq_no=169,	ch0= 866, ch1= 284, ch2=2561, ch3=1205, ch4=   0, ch5= 739, ts=1714036808862350,	delta=839,
seq_no=170,	ch0=1181, ch1=  89, ch2=2419, ch3=1315, ch4=  64, ch5= 544, ts=1714036808863203,	delta=853,
seq_no=171,	ch0=1480, ch1=   2, ch2=2189, ch3=1383, ch4= 198, ch5= 385, ts=1714036808864037,	delta=834,
seq_no=172,	ch0=1771, ch1=   0, ch2=1888, ch3=1415, ch4= 372, ch5= 246, ts=1714036808864878,	delta=841,
seq_no=173,	ch0=1984, ch1=   1, ch2=1572, ch3=1389, ch4= 543, ch5= 132, ts=1714036808865726,	delta=848,
seq_no=174,	ch0=2183, ch1= 161, ch2=1219, ch3=1315, ch4= 734, ch5=  25, ts=1714036808866616,	delta=890,
seq_no=175,	ch0=2323, ch1= 363, ch2= 869, ch3=1181, ch4= 872, ch5=   0, ts=1714036808867417,	delta=801,
seq_no=176,	ch0=2354, ch1= 591, ch2= 548, ch3=1027, ch4=1044, ch5=   0, ts=1714036808868252,	delta=835,
seq_no=177,	ch0=2199, ch1= 929, ch2= 312, ch3= 832, ch4=1095, ch5=  38, ts=1714036808869095,	delta=843,
seq_no=178,	ch0=2119, ch1=1231, ch2= 177, ch3= 586, ch4=1198, ch5=  88, ts=1714036808869936,	delta=841,
seq_no=179,	ch0=1917, ch1=1575, ch2=   2, ch3= 424, ch4=1233, ch5= 219, ts=1714036808870783,	delta=847,
seq_no=180,	ch0=1665, ch1=1868, ch2=   0, ch3= 279, ch4=1251, ch5= 418, ts=1714036808871620,	delta=837,
seq_no=181,	ch0=1376, ch1=2107, ch2=   0, ch3= 150, ch4=1218, ch5= 611, ts=1714036808872461,	delta=841,
seq_no=182,	ch0=1069, ch1=2293, ch2= 167, ch3=  51, ch4=1120, ch5= 798, ts=1714036808873306,	delta=845,
seq_no=183,	ch0= 744, ch1=2410, ch2= 425, ch3=   0, ch4= 988, ch5= 963, ts=1714036808874148,	delta=842,
seq_no=184,	ch0= 462, ch1=2392, ch2= 734, ch3=   0, ch4= 780, ch5=1113, ts=1714036808874996,	delta=848,
seq_no=185,	ch0= 197, ch1=2348, ch2=1060, ch3=  25, ch4= 637, ch5=1228, ts=1714036808875832,	delta=836,
seq_no=186,	ch0=  41, ch1=2180, ch2=1452, ch3=  55, ch4= 463, ch5=1307, ts=1714036808876675,	delta=843,
seq_no=187,	ch0=   0, ch1=2031, ch2=1742, ch3= 210, ch4= 309, ch5=1328, ts=1714036808877517,	delta=842,
seq_no=188,	ch0=   0, ch1=1676, ch2=2047, ch3= 394, ch4= 125, ch5=1359, ts=1714036808878363,	delta=846,
seq_no=189,	ch0=   0, ch1=1386, ch2=2332, ch3= 626, ch4=  84, ch5=1336, ts=1714036808879209,	delta=846,
seq_no=190,	ch0= 145, ch1=1094, ch2=2569, ch3= 805, ch4=  44, ch5=1236, ts=1714036808880043,	delta=834,
seq_no=191,	ch0= 373, ch1= 752, ch2=2598, ch3= 979, ch4=   0, ch5=1074, ts=1714036808880887,	delta=844,
seq_no=192,	ch0= 639, ch1= 470, ch2=2599, ch3=1124, ch4=   0, ch5= 884, ts=1714036808881729,	delta=842,
seq_no=193,	ch0= 944, ch1= 224, ch2=2543, ch3=1243, ch4=   2, ch5= 690, ts=1714036808884155,	delta=2426,
seq_no=194,	ch0=1261, ch1=  41, ch2=2350, ch3=1331, ch4= 101, ch5= 503, ts=1714036808884334,	delta=179,
seq_no=195,	ch0=1562, ch1=   0, ch2=2123, ch3=1388, ch4= 236, ch5= 350, ts=1714036808884368,	delta=34,
seq_no=196,	ch0=1848, ch1=   0, ch2=1814, ch3=1415, ch4= 404, ch5= 193, ts=1714036808885147,	delta=779,
seq_no=197,	ch0=2054, ch1=  29, ch2=1479, ch3=1376, ch4= 594, ch5= 109, ts=1714036808885954,	delta=807,
seq_no=198,	ch0=2232, ch1= 201, ch2=1127, ch3=1287, ch4= 776, ch5=  22, ts=1714036808886846,	delta=892,
seq_no=199,	ch0=2329, ch1= 475, ch2= 766, ch3=1143, ch4= 924, ch5=   0, ts=1714036808887648,	delta=802,
seq_no=200,	ch0=2410, ch1= 704, ch2= 480, ch3= 944, ch4= 995, ch5=   0, ts=1714036808888477,	delta=829,
seq_no=201,	ch0=2185, ch1=1031, ch2= 214, ch3= 673, ch4=1122, ch5=   0, ts=1714036808889314,	delta=837,
seq_no=202,	ch0=2064, ch1=1351, ch2=  17, ch3= 549, ch4=1208, ch5= 168, ts=1714036808890154,	delta=840,
seq_no=203,	ch0=1860, ch1=1659, ch2=   0, ch3= 374, ch4=1243, ch5= 274, ts=1714036808891010,	delta=856,
seq_no=204,	ch0=1590, ch1=1933, ch2=   9, ch3= 238, ch4=1238, ch5= 470, ts=1714036808891842,	delta=832,
seq_no=205,	ch0=1299, ch1=2171, ch2=  45, ch3= 131, ch4=1188, ch5= 665, ts=1714036808892681,	delta=839,
seq_no=206,	ch0= 969, ch1=2348, ch2= 236, ch3=  30, ch4=1088, ch5= 839, ts=1714036808893525,	delta=844,
seq_no=207,	ch0= 674, ch1=2408, ch2= 493, ch3=   0, ch4= 946, ch5=1020, ts=1714036808894363,	delta=838,
