seq_no=158,	ch0= 819, ch1=2393, ch2= 361, ch3=   0, ch4= 885, ch5= 824, ts=1714036743311362,	delta=1079,
seq_no=159,	ch0= 530, ch1=2418, ch2= 652, ch3=   0, ch4= 751, ch5= 963, ts=1714036743312005,	delta=643,
seq_no=160,	ch0= 283, ch1=2376, ch2= 992, ch3=   0, ch4= 588, ch5=1063, ts=1714036743312825,	delta=820,
seq_no=161,	ch0=  78, ch1=2232, ch2=1331, ch3=  39, ch4= 427, ch5=1127, ts=1714036743313714,	delta=889,
seq_no=162,	ch0=   0, ch1=2028, ch2=1673, ch3= 150, ch4= 292, ch5=1170, ts=1714036743314503,	delta=789,
seq_no=163,	ch0=   0, ch1=1760, ch2=1975, ch3= 323, ch4= 178, ch5=1172, ts=1714036743315350,	delta=847,
seq_no=164,	ch0=   0, ch1=1452, ch2=2255, ch3= 488, ch4=  76, ch5=1154, ts=1714036743316193,	delta=843,
seq_no=165,	ch0= 101, ch1=1131, ch2=2492, ch3= 663, ch4=   1, ch5=1102, ts=1714036743317026,	delta=833,
seq_no=166,	ch0= 321, ch1= 832, ch2=2588, ch3= 825, ch4=   0, ch5= 972, ts=1714036743317869,	delta=843,
seq_no=167,	ch0= 631, ch1= 557, ch2=2557, ch3= 960, ch4=   0, ch5= 718, ts=1714036743318718,	delta=849,
seq_no=168,	ch0= 897, ch1= 221, ch2=2549, ch3=1088, ch4=  36, ch5= 629, ts=1714036743319553,	delta=835,
seq_no=169,	ch0=1104, ch1=  75, ch2=2412, ch3=1209, ch4=  57, ch5= 503, ts=1714036743320394,	delta=841,
seq_no=170,	ch0=1491, ch1=   0, ch2=2170, ch3=1206, ch4= 181, ch5= 329, ts=1714036743321234,	delta=840,
seq_no=171,	ch0=1771, ch1=   0, ch2=1880, ch3=1234, ch4= 325, ch5= 198, ts=1714036743322077,	delta=843,
seq_no=172,	ch0=2007, ch1=   5, ch2=1549, ch3=1219, ch4= 482, ch5=  98, ts=1714036743322927,	delta=850,
seq_no=173,	ch0=2201, ch1= 149, ch2=1191, ch3=1140, ch4= 640, ch5=  10, ts=1714036743323767,	delta=840,
seq_no=174,	ch0=2312, ch1= 374, ch2= 856, ch3=1023, ch4= 774, ch5=   0, ts=1714036743324605,	delta=838,
seq_no=175,	ch0=2329, ch1= 644, ch2= 515, ch3= 859, ch4= 885, ch5=  37, ts=1714036743325450,	delta=845,
seq_no=176,	ch0=2266, ch1= 939, ch2= 270, ch3= 684, ch4=1013, ch5=   0, ts=1714036743326293,	delta=843,
seq_no=177,	ch0=2072, ch1=1264, ch2=  64, ch3= 563, ch4=1040, ch5=  78, ts=1714036743327138,	delta=845,
seq_no=178,	ch0=1916, ch1=1585, ch2=   0, ch3= 354, ch4=1088, ch5= 198, ts=1714036743327968,	delta=830,
seq_no=179,	ch0=1687, ch1=1888, ch2=   0, ch3= 228, ch4=1104, ch5= 409, ts=1714036743328807,	delta=839,
seq_no=180,	ch0=1348, ch1=2019, ch2=  11, ch3= 117, ch4=1113, ch5= 522, ts=1714036743329653,	delta=846,
seq_no=181,	ch0= 913, ch1=2300, ch2= 194, ch3= 125, ch4= 961, ch5= 705, ts=1714036743330495,	delta=842,
seq_no=182,	ch0= 732, ch1=2404, ch2= 438, ch3=   0, ch4= 858, ch5= 856, ts=1714036743331351,	delta=856,
seq_no=183,	ch0= 457, ch1=2418, ch2= 731, ch3=   0, ch4= 711, ch5= 979, ts=1714036743332192,	delta=841,
seq_no=184,	ch0= 217, ch1=2352, ch2=1080, ch3=   0, ch4= 537, ch5=1088, ts=1714036743333028,	delta=836,
seq_no=185,	ch0=  34, ch1=2199, ch2=1428, ch3=  64, ch4= 383, ch5=1147, ts=1714036743333872,	delta=844,
seq_no=186,	ch0=   0, ch1=1968, ch2=1761, ch3= 192, ch4= 265, ch5=1185, ts=1714036743334722,	delta=850,
seq_no=187,	ch0=   0, ch1=1668, ch2=2039, ch3= 353, ch4= 160, ch5=1182, ts=1714036743335552,	delta=830,
seq_no=188,	ch0=  10, ch1=1376, ch2=2309, ch3= 541, ch4=  72, ch5=1135, ts=1714036743336398,	delta=846,
seq_no=189,	ch0= 166, ch1=1056, ch2=2526, ch3= 710, ch4=   0, ch5=1065, ts=1714036743337675,	delta=1277,
seq_no=190,	ch0= 375, ch1= 750, ch2=2600, ch3= 864, ch4=   0, ch5= 935, ts=1714036743338137,	delta=462,
seq_no=191,	ch0= 648, ch1= 434, ch2=2491, ch3= 992, ch4=   0, ch5= 846, ts=1714036743338958,	delta=821,
seq_no=192,	ch0= 970, ch1=  86, ch2=2515, ch3=1090, ch4=  98, ch5= 576, ts=1714036743339778,	delta=820,
seq_no=193,	ch0=1344, ch1=  37, ch2=2388, ch3=1175, ch4=  67, ch5= 421, ts=1714036743340614,	delta=836,
seq_no=194,	ch0=1571, ch1=   7, ch2=2104, ch3=1216, ch4= 201, ch5= 299, ts=1714036743341456,	delta=842,
seq_no=195,	ch0=1836, ch1=   8, ch2=1807, ch3=1229, ch4= 369, ch5= 159, ts=1714036743342297,	delta=841,
seq_no=196,	ch0=2068, ch1=  36, ch2=1467, ch3=1201, ch4= 532, ch5=  75, ts=1714036743343147,	delta=850,
seq_no=197,	ch0=2240, ch1= 212, ch2=1104, ch3=1113, ch4= 677, ch5=   0, ts=1714036743343981,	delta=834,
seq_no=198,	ch0=2318, ch1= 438, ch2= 781, ch3= 992, ch4= 794, ch5=   0, ts=1714036743344864,	delta=883,
seq_no=199,	ch0=2319, ch1= 722, ch2= 422, ch3= 812, ch4= 895, ch5=  74, ts=1714036743345678,	delta=814,
seq_no=200,	ch0=2240, ch1=1080, ch2= 210, ch3= 642, ch4= 993, ch5=   0, ts=1714036743346517,	delta=839,
seq_no=201,	ch0=2180, ch1=1344, ch2=  23, ch3= 469, ch4=1038, ch5= 108, ts=1714036743347363,	delta=846,
seq_no=202,	ch0=1832, ch1=1664, ch2=   0, ch3= 291, ch4=1088, ch5= 236, ts=1714036743348198,	delta=835,
