seq_no=186,	ch0=1106, ch1= 236, ch2=2700, ch3=1024, ch4= 433, ch5=2521, ts=1712137831517222,	delta=843,
seq_no=187,	ch0= 812, ch1= 547, ch2=2735, ch3= 704, ch4= 780, ch5=2496, ts=1712137831518076,	delta=854,
seq_no=188,	ch0= 450, ch1= 933, ch2=2732, ch3= 439, ch4=1141, ch5=2512, ts=1712137831518911,	delta=835,
seq_no=189,	ch0= 158, ch1=1345, ch2=2719, ch3= 197, ch4=1464, ch5=2461, ts=1712137831519754,	delta=843,
seq_no=190,	ch0=   0, ch1=1769, ch2=2688, ch3=   0, ch4=1755, ch5=2255, ts=1712137831520597,	delta=843,
seq_no=191,	ch0=   0, ch1=2179, ch2=2624, ch3=  10, ch4=2042, ch5=1888, ts=1712137831521494,	delta=897,
seq_no=192,	ch0=   0, ch1=2472, ch2=2247, ch3=   9, ch4=2292, ch5=1517, ts=1712137831522288,	delta=794,
seq_no=193,	ch0=   0, ch1=2524, ch2=1753, ch3=  74, ch4=2471, ch5=1260, ts=1712137831523122,	delta=834,
seq_no=194,	ch0= 296, ch1=2562, ch2=1336, ch3= 392, ch4=2521, ch5= 879, ts=1712137831523968,	delta=846,
seq_no=195,	ch0= 551, ch1=2564, ch2= 869, ch3= 777, ch4=2529, ch5= 633, ts=1712137831524810,	delta=842,
seq_no=196,	ch0= 856, ch1=2562, ch2= 476, ch3=1251, ch4=2530, ch5= 356, ts=1712137831525662,	delta=852,
seq_no=197,	ch0=1390, ch1=2560, ch2= 138, ch3=1523, ch4=2460, ch5=  21, ts=1712137831526497,	delta=835,
seq_no=198,	ch0=1640, ch1=2511, ch2=   6, ch3=1883, ch4=2160, ch5=  25, ts=1712137831527374,	delta=877,
seq_no=199,	ch0=2132, ch1=2445, ch2=   5, ch3=2102, ch4=1829, ch5=   0, ts=1712137831528193,	delta=819,
seq_no=200,	ch0=2392, ch1=2096, ch2=   2, ch3=2292, ch4=1480, ch5=   0, ts=1712137831529029,	delta=836,
seq_no=201,	ch0=2432, ch1=1678, ch2=  23, ch3=2350, ch4=1169, ch5= 185, ts=1712137831529879,	delta=850,
seq_no=202,	ch0=2460, ch1=1241, ch2= 297, ch3=2376, ch4= 856, ch5= 520, ts=1712137831530712,	delta=833,
seq_no=203,	ch0=2480, ch1= 832, ch2= 642, ch3=2400, ch4= 570, ch5= 891, ts=1712137831531551,	delta=839,
seq_no=204,	ch0=2476, ch1= 451, ch2=1075, ch3=2393, ch4= 338, ch5=1255, ts=1712137831532397,	delta=846,
seq_no=205,	ch0=2460, ch1= 156, ch2=1508, ch3=2368, ch4= 132, ch5=1580, ts=1712137831533238,	delta=841,
seq_no=206,	ch0=2419, ch1=  26, ch2=1984, ch3=2303, ch4=  13, ch5=1900, ts=1712137831534085,	delta=847,
seq_no=207,	ch0=2326, ch1=  11, ch2=2419, ch3=1961, ch4=   9, ch5=2190, ts=1712137831534925,	delta=840,
seq_no=208,	ch0=1959, ch1=   0, ch2=2664, ch3=1560, ch4=   0, ch5=2402, ts=1712137831535765,	delta=840,
seq_no=209,	ch0=1545, ch1=  20, ch2=2687, ch3=1223, ch4= 228, ch5=2508, ts=1712137831536609,	delta=844,
seq_no=210,	ch0=1161, ch1= 254, ch2=2723, ch3= 923, ch4= 432, ch5=2509, ts=1712137831537462,	delta=853,
seq_no=211,	ch0= 736, ch1= 612, ch2=2740, ch3= 635, ch4= 847, ch5=2521, ts=1712137831538298,	delta=836,
seq_no=212,	ch0= 394, ch1=1009, ch2=2727, ch3= 386, ch4=1202, ch5=2511, ts=1712137831539141,	delta=843,
seq_no=213,	ch0= 121, ch1=1433, ch2=2640, ch3= 156, ch4=1513, ch5=2461, ts=1712137831539981,	delta=840,
seq_no=214,	ch0=   0, ch1=1859, ch2=2680, ch3=  17, ch4=1805, ch5=2196, ts=1712137831540825,	delta=844,
seq_no=215,	ch0=   0, ch1=2255, ch2=2589, ch3=  11, ch4=2084, ch5=1823, ts=1712137831541676,	delta=851,
seq_no=216,	ch0=   0, ch1=2476, ch2=2173, ch3=   8, ch4=2303, ch5=1452, ts=1712137831542510,	delta=834,
seq_no=217,	ch0=  36, ch1=2528, ch2=1719, ch3= 106, ch4=2483, ch5=1135, ts=1712137831543351,	delta=841,
seq_no=218,	ch0= 287, ch1=2551, ch2=1240, ch3= 454, ch4=2520, ch5= 821, ts=1712137831544192,	delta=841,
seq_no=219,	ch0= 601, ch1=2559, ch2= 845, ch3= 860, ch4=2534, ch5= 545, ts=1712137831545040,	delta=848,
seq_no=220,	ch0= 990, ch1=2555, ch2= 420, ch3=1240, ch4=2456, ch5= 308, ts=1712137831545889,	delta=849,
seq_no=221,	ch0=1392, ch1=2551, ch2= 155, ch3=1574, ch4=2439, ch5= 116, ts=1712137831546726,	delta=837,
