seq_no=189,	ch0=1714, ch1=2510, ch2=   9, ch3= 123, ch4= 832, ch5= 357, ts=1714037800476475,	delta=840,
seq_no=190,	ch0=1397, ch1=2535, ch2= 235, ch3=  27, ch4= 731, ch5= 510, ts=1714037800477321,	delta=846,
seq_no=191,	ch0= 895, ch1=2560, ch2= 548, ch3=   0, ch4= 671, ch5= 625, ts=1714037800478163,	delta=842,
seq_no=192,	ch0= 516, ch1=2551, ch2= 964, ch3=   1, ch4= 553, ch5= 706, ts=1714037800479015,	delta=852,
seq_no=193,	ch0= 202, ch1=2540, ch2=1427, ch3=   8, ch4= 424, ch5= 788, ts=1714037800479841,	delta=826,
seq_no=194,	ch0=   0, ch1=2516, ch2=1892, ch3=  57, ch4= 298, ch5= 832, ts=1714037800480684,	delta=843,
seq_no=195,	ch0=   0, ch1=2463, ch2=2316, ch3= 154, ch4= 192, ch5= 844, ts=1714037800481525,	delta=841,
seq_no=196,	ch0=   0, ch1=2153, ch2=2627, ch3= 274, ch4= 112, ch5= 844, ts=1714037800482366,	delta=841,
seq_no=197,	ch0=   0, ch1=1740, ch2=2688, ch3= 426, ch4=  44, ch5= 797, ts=1714037800483234,	delta=868,
seq_no=198,	ch0= 200, ch1=1305, ch2=2715, ch3= 546, ch4=   0, ch5= 745, ts=1714037800484244,	delta=1010,
seq_no=199,	ch0= 496, ch1= 900, ch2=2737, ch3= 653, ch4=   2, ch5= 672, ts=1714037800484947,	delta=703,
seq_no=200,	ch0= 859, ch1= 498, ch2=2720, ch3= 742, ch4=   0, ch5= 609, ts=1714037800485760,	delta=813,
seq_no=201,	ch0=1261, ch1= 109, ch2=2712, ch3= 821, ch4=  74, ch5= 392, ts=1714037800486700,	delta=940,
seq_no=202,	ch0=1544, ch1=   0, ch2=2651, ch3= 953, ch4=  64, ch5= 298, ts=1714037800487451,	delta=751,
seq_no=203,	ch0=2075, ch1=   2, ch2=2626, ch3= 908, ch4= 170, ch5= 200, ts=1714037800488280,	delta=829,
seq_no=204,	ch0=2369, ch1=  10, ch2=2276, ch3= 900, ch4= 284, ch5= 114, ts=1714037800489118,	delta=838,
seq_no=205,	ch0=2428, ch1=  29, ch2=1821, ch3= 884, ch4= 411, ch5=  38, ts=1714037800489959,	delta=841,
seq_no=206,	ch0=2456, ch1= 242, ch2=1355, ch3= 818, ch4= 544, ch5=   6, ts=1714037800490812,	delta=853,
seq_no=207,	ch0=2465, ch1= 557, ch2= 897, ch3= 726, ch4= 645, ch5=   1, ts=1714037800491643,	delta=831,
