seq_no=92,	ch0=2400, ch1=1925, ch2=   3, ch3= 807, ch4=2087, ch5= 332, ts=1714037646326979,	delta=851,
seq_no=93,	ch0=2260, ch1=2328, ch2=   8, ch3= 582, ch4=2156, ch5= 601, ts=1714037646327811,	delta=832,
seq_no=94,	ch0=1944, ch1=2496, ch2=  38, ch3= 388, ch4=2115, ch5= 926, ts=1714037646328652,	delta=841,
seq_no=95,	ch0=1449, ch1=2541, ch2= 124, ch3= 195, ch4=2000, ch5=1240, ts=1714037646329497,	delta=845,
seq_no=96,	ch0=1055, ch1=2564, ch2= 408, ch3=  53, ch4=1774, ch5=1463, ts=1714037646330341,	delta=844,
seq_no=97,	ch0= 752, ch1=2559, ch2= 792, ch3=   2, ch4=1487, ch5=1693, ts=1714037646331193,	delta=852,
seq_no=98,	ch0= 304, ch1=2569, ch2=1240, ch3=   0, ch4=1183, ch5=1922, ts=1714037646332025,	delta=832,
seq_no=99,	ch0=  57, ch1=2529, ch2=1656, ch3=  44, ch4= 899, ch5=2127, ts=1714037646332867,	delta=842,
seq_no=100,	ch0=   0, ch1=2383, ch2=2136, ch3= 285, ch4= 704, ch5=2136, ts=1714037646333712,	delta=845,
seq_no=101,	ch0=   0, ch1=2303, ch2=2574, ch3= 606, ch4= 448, ch5=2202, ts=1714037646334554,	delta=842,
seq_no=102,	ch0=   0, ch1=1902, ch2=2672, ch3= 978, ch4= 261, ch5=2168, ts=1714037646335418,	delta=864,
seq_no=103,	ch0=  98, ch1=1479, ch2=2701, ch3=1295, ch4=  88, ch5=2031, ts=1714037646336245,	delta=827,
seq_no=104,	ch0= 374, ch1=1074, ch2=2723, ch3=1562, ch4=  12, ch5=1799, ts=1714037646337086,	delta=841,
seq_no=105,	ch0= 722, ch1= 663, ch2=2736, ch3=1780, ch4=  13, ch5=1520, ts=1714037646337930,	delta=844,
seq_no=106,	ch0=1110, ch1= 328, ch2=2711, ch3=1984, ch4=  11, ch5=1195, ts=1714037646338783,	delta=853,
seq_no=107,	ch0=1530, ch1=  64, ch2=2698, ch3=2176, ch4= 129, ch5= 888, ts=1714037646339614,	delta=831,
seq_no=108,	ch0=1926, ch1=  16, ch2=2657, ch3=2275, ch4= 352, ch5= 673, ts=1714037646340455,	delta=841,
seq_no=109,	ch0=2272, ch1=  18, ch2=2456, ch3=2312, ch4= 655, ch5= 466, ts=1714037646341298,	delta=843,
seq_no=110,	ch0=2438, ch1=  44, ch2=1984, ch3=2296, ch4= 984, ch5= 288, ts=1714037646342143,	delta=845,
seq_no=111,	ch0=2462, ch1= 106, ch2=1543, ch3=2255, ch4=1304, ch5= 113, ts=1714037646342993,	delta=850,
seq_no=112,	ch0=2462, ch1= 430, ch2=1121, ch3=2044, ch4=1487, ch5=  32, ts=1714037646343828,	delta=835,
seq_no=113,	ch0=2471, ch1= 787, ch2= 668, ch3=1671, ch4=1678, ch5=  13, ts=1714037646344673,	delta=845,
seq_no=114,	ch0=2456, ch1=1196, ch2= 320, ch3=1315, ch4=1872, ch5=  20, ts=1714037646345512,	delta=839,
seq_no=115,	ch0=2432, ch1=1634, ch2=   9, ch3= 990, ch4=2019, ch5= 149, ts=1714037646346359,	delta=847,
seq_no=116,	ch0=2387, ch1=2043, ch2=   4, ch3= 744, ch4=2104, ch5= 390, ts=1714037646347208,	delta=849,
seq_no=117,	ch0=2144, ch1=2419, ch2=  10, ch3= 533, ch4=2158, ch5= 683, ts=1714037646348041,	delta=833,
seq_no=118,	ch0=1774, ch1=2510, ch2=  17, ch3= 341, ch4=2144, ch5=1011, ts=1714037646348886,	delta=845,
seq_no=119,	ch0=1331, ch1=2539, ch2= 182, ch3= 159, ch4=1958, ch5=1324, ts=1714037646349978,	delta=1092,
seq_no=120,	ch0= 942, ch1=2544, ch2= 463, ch3=  22, ch4=1710, ch5=1615, ts=1714037646350673,	delta=695,
seq_no=121,	ch0= 560, ch1=2478, ch2= 896, ch3=   0, ch4=1495, ch5=1747, ts=1714037646351437,	delta=764,
seq_no=122,	ch0= 112, ch1=2548, ch2=1359, ch3=  88, ch4=1063, ch5=1944, ts=1714037646352267,	delta=830,
seq_no=123,	ch0=   0, ch1=2481, ch2=1919, ch3= 114, ch4= 832, ch5=2084, ts=1714037646353111,	delta=844,
seq_no=124,	ch0=   0, ch1=2476, ch2=2240, ch3= 382, ch4= 587, ch5=2136, ts=1714037646353945,	delta=834,
seq_no=125,	ch0=   0, ch1=2196, ch2=2630, ch3= 704, ch4= 382, ch5=2215, ts=1714037646354799,	delta=854,
seq_no=126,	ch0=   0, ch1=1785, ch2=2680, ch3=1069, ch4= 203, ch5=2144, ts=1714037646355632,	delta=833,
seq_no=127,	ch0= 162, ch1=1358, ch2=2715, ch3=1378, ch4=  75, ch5=1984, ts=1714037646356473,	delta=841,
seq_no=128,	ch0= 463, ch1= 953, ch2=2727, ch3=1615, ch4=   0, ch5=1735, ts=1714037646357318,	delta=845,
