seq_no=99,	ch0=  16, ch1= 378, ch2= 791, ch3= 194, ch4=   0, ch5= 323, ts=1714036173252223,	delta=839,
seq_no=100,	ch0=  79, ch1= 269, ch2= 849, ch3= 249, ch4=   0, ch5= 285, ts=1714036173253060,	delta=837,
seq_no=101,	ch0= 168, ch1= 176, ch2= 865, ch3= 299, ch4=   0, ch5= 229, ts=1714036173253903,	delta=843,
seq_no=102,	ch0= 255, ch1=  81, ch2= 847, ch3= 324, ch4=   0, ch5= 198, ts=1714036173254812,	delta=909,
seq_no=103,	ch0= 345, ch1=  27, ch2= 795, ch3= 352, ch4=   2, ch5= 149, ts=1714036173255596,	delta=784,
seq_no=104,	ch0= 450, ch1=   0, ch2= 728, ch3= 369, ch4=  41, ch5=  86, ts=1714036173256431,	delta=835,
seq_no=105,	ch0= 542, ch1=   0, ch2= 551, ch3= 375, ch4=  72, ch5= 143, ts=1714036173257270,	delta=839,
seq_no=106,	ch0= 650, ch1=  70, ch2= 513, ch3= 405, ch4= 139, ch5=   0, ts=1714036173258113,	delta=843,
seq_no=107,	ch0= 717, ch1=   0, ch2= 409, ch3= 341, ch4= 105, ch5=   0, ts=1714036173258962,	delta=849,
seq_no=108,	ch0= 754, ch1=  91, ch2= 285, ch3= 315, ch4= 232, ch5=   0, ts=1714036173259798,	delta=836,
seq_no=109,	ch0= 761, ch1= 176, ch2= 173, ch3= 269, ch4= 274, ch5=   0, ts=1714036173260639,	delta=841,
seq_no=110,	ch0= 748, ch1= 279, ch2=  83, ch3= 205, ch4= 295, ch5=   0, ts=1714036173261475,	delta=836,
seq_no=111,	ch0= 707, ch1= 389, ch2=  10, ch3= 153, ch4= 322, ch5=  16, ts=1714036173262324,	delta=849,
seq_no=112,	ch0= 633, ch1= 498, ch2=   0, ch3= 106, ch4= 320, ch5=  50, ts=1714036173263171,	delta=847,
seq_no=113,	ch0= 612, ch1= 591, ch2=   0, ch3=  86, ch4= 309, ch5=  98, ts=1714036173264004,	delta=833,
seq_no=114,	ch0= 448, ch1= 676, ch2=   0, ch3=   0, ch4= 304, ch5= 149, ts=1714036173264845,	delta=841,
