seq_no=156,	ch0=2398, ch1=  36, ch2=2115, ch3=  66, ch4=  17, ch5=  77, ts=1713173572466400,	delta=841,
seq_no=157,	ch0=2219, ch1=   0, ch2=2634, ch3=  39, ch4=  16, ch5=  71, ts=1713173572467248,	delta=848,
seq_no=158,	ch0=1821, ch1=  17, ch2=2663, ch3=  43, ch4=  68, ch5=  84, ts=1713173572468283,	delta=1035,
seq_no=159,	ch0=1419, ch1=  90, ch2=2563, ch3=  52, ch4=  36, ch5= 170, ts=1713173572468968,	delta=685,
seq_no=160,	ch0=1022, ch1= 378, ch2=2739, ch3=  52, ch4=  91, ch5= 121, ts=1713173572469779,	delta=811,
seq_no=161,	ch0= 627, ch1= 738, ch2=2739, ch3=  50, ch4=  67, ch5=  65, ts=1713173572470667,	delta=888,
seq_no=162,	ch0= 299, ch1=1142, ch2=2732, ch3=  53, ch4=  67, ch5=  54, ts=1713173572471463,	delta=796,
seq_no=163,	ch0=  37, ch1=1565, ch2=2700, ch3=  64, ch4=  79, ch5=  37, ts=1713173572472300,	delta=837,
seq_no=164,	ch0=   0, ch1=1991, ch2=2662, ch3=  69, ch4=  67, ch5=  21, ts=1713173572473136,	delta=836,
seq_no=165,	ch0=   0, ch1=2371, ch2=2487, ch3=  66, ch4=  68, ch5=  11, ts=1713173572473979,	delta=843,
seq_no=166,	ch0=   0, ch1=2503, ch2=2049, ch3=  71, ch4=  36, ch5=   1, ts=1713173572474831,	delta=852,
seq_no=167,	ch0= 192, ch1=2534, ch2=1575, ch3=  85, ch4=  45, ch5=   8, ts=1713173572475666,	delta=835,
seq_no=168,	ch0= 341, ch1=2553, ch2=1117, ch3= 138, ch4=  64, ch5=   6, ts=1713173572476555,	delta=889,
seq_no=169,	ch0= 705, ch1=2557, ch2= 685, ch3=   9, ch4=  56, ch5=   0, ts=1713173572477351,	delta=796,
seq_no=170,	ch0=1132, ch1=2563, ch2= 330, ch3=  64, ch4=  30, ch5=  37, ts=1713173572478191,	delta=840,
seq_no=171,	ch0=1535, ch1=2497, ch2=  32, ch3=  82, ch4=  21, ch5=   0, ts=1713173572479042,	delta=851,
seq_no=172,	ch0=1926, ch1=2483, ch2=  76, ch3=  75, ch4=  22, ch5=  22, ts=1713173572479875,	delta=833,
seq_no=173,	ch0=2319, ch1=2298, ch2=   2, ch3=  89, ch4=   9, ch5=  28, ts=1713173572480714,	delta=839,
seq_no=174,	ch0=2412, ch1=1885, ch2=   4, ch3=  96, ch4=  14, ch5=  37, ts=1713173572481554,	delta=840,
seq_no=175,	ch0=2448, ch1=1447, ch2= 156, ch3=  98, ch4=   8, ch5=  42, ts=1713173572482398,	delta=844,
seq_no=176,	ch0=2447, ch1=1015, ch2= 470, ch3= 101, ch4=  12, ch5=  64, ts=1713173572483250,	delta=852,
