seq_no=170,	ch0=2224, ch1=1119, ch2= 186, ch3= 545, ch4= 864, ch5=   0, ts=1714036688064120,	delta=893,
seq_no=171,	ch0=2101, ch1=1303, ch2=  30, ch3= 391, ch4= 849, ch5=  74, ts=1714036688064917,	delta=797,
seq_no=172,	ch0=1869, ch1=1641, ch2=   0, ch3= 276, ch4= 929, ch5= 181, ts=1714036688065745,	delta=828,
seq_no=173,	ch0=1600, ch1=1924, ch2=   0, ch3= 165, ch4= 918, ch5= 314, ts=1714036688066729,	delta=984,
seq_no=174,	ch0=1303, ch1=2160, ch2=  39, ch3=  74, ch4= 878, ch5= 448, ts=1714036688067453,	delta=724,
seq_no=175,	ch0= 979, ch1=2335, ch2= 231, ch3=   8, ch4= 818, ch5= 576, ts=1714036688068282,	delta=829,
seq_no=176,	ch0= 685, ch1=2409, ch2= 482, ch3=   0, ch4= 711, ch5= 688, ts=1714036688069118,	delta=836,
seq_no=177,	ch0= 402, ch1=2416, ch2= 871, ch3=   0, ch4= 579, ch5= 792, ts=1714036688069959,	delta=841,
seq_no=178,	ch0= 192, ch1=2326, ch2=1110, ch3=   0, ch4= 434, ch5= 903, ts=1714036688070813,	delta=854,
seq_no=179,	ch0=  11, ch1=2110, ch2=1481, ch3=  73, ch4= 357, ch5= 905, ts=1714036688071642,	delta=829,
seq_no=180,	ch0=   0, ch1=1912, ch2=1814, ch3= 229, ch4= 204, ch5= 930, ts=1714036688072486,	delta=844,
seq_no=181,	ch0=   0, ch1=1642, ch2=2104, ch3= 309, ch4= 110, ch5= 905, ts=1714036688073329,	delta=843,
seq_no=182,	ch0=  50, ch1=1316, ch2=2310, ch3= 483, ch4=  64, ch5= 949, ts=1714036688074169,	delta=840,
seq_no=183,	ch0= 203, ch1= 858, ch2=2528, ch3= 599, ch4=  58, ch5= 803, ts=1714036688075021,	delta=852,
seq_no=184,	ch0= 436, ch1= 683, ch2=2604, ch3= 742, ch4=   0, ch5= 706, ts=1714036688075853,	delta=832,
seq_no=185,	ch0= 708, ch1= 411, ch2=2598, ch3= 846, ch4=   0, ch5= 576, ts=1714036688076699,	delta=846,
seq_no=186,	ch0=1013, ch1= 169, ch2=2511, ch3= 931, ch4=  22, ch5= 430, ts=1714036688077541,	delta=842,
seq_no=187,	ch0=1329, ch1=  19, ch2=2305, ch3= 988, ch4=  98, ch5= 320, ts=1714036688078383,	delta=842,
seq_no=188,	ch0=1628, ch1=   0, ch2=2052, ch3=1011, ch4= 201, ch5= 206, ts=1714036688079233,	delta=850,
seq_no=189,	ch0=1896, ch1=   5, ch2=1729, ch3= 998, ch4= 335, ch5= 113, ts=1714036688080066,	delta=833,
seq_no=190,	ch0=2087, ch1=  66, ch2=1377, ch3= 976, ch4= 476, ch5=  34, ts=1714036688080911,	delta=845,
seq_no=191,	ch0=2272, ch1= 249, ch2=1036, ch3= 919, ch4= 608, ch5=   0, ts=1714036688081751,	delta=840,
seq_no=192,	ch0=2360, ch1= 483, ch2= 704, ch3= 784, ch4= 695, ch5=   0, ts=1714036688082640,	delta=889,
seq_no=193,	ch0=2259, ch1= 768, ch2= 408, ch3= 576, ch4= 789, ch5=   0, ts=1714036688083443,	delta=803,
seq_no=194,	ch0=2204, ch1=1112, ch2= 218, ch3= 482, ch4= 896, ch5=  28, ts=1714036688084281,	delta=838,
seq_no=195,	ch0=2030, ch1=1528, ch2=   0, ch3= 381, ch4= 933, ch5=  76, ts=1714036688085123,	delta=842,
seq_no=196,	ch0=1806, ch1=1712, ch2=   0, ch3= 246, ch4= 937, ch5= 218, ts=1714036688085967,	delta=844,
