seq_no=141,	ch0=1249, ch1=   4, ch2=1144, ch3=1152, ch4= 371, ch5= 128, ts=1714038002824666,	delta=842,
seq_no=142,	ch0=1389, ch1=  30, ch2= 911, ch3=1105, ch4= 529, ch5=  48, ts=1714038002825505,	delta=839,
seq_no=143,	ch0=1512, ch1= 164, ch2= 661, ch3=1023, ch4= 666, ch5=   0, ts=1714038002826343,	delta=838,
seq_no=144,	ch0=1540, ch1= 310, ch2= 466, ch3= 884, ch4= 773, ch5=   0, ts=1714038002827195,	delta=852,
seq_no=145,	ch0=1531, ch1= 514, ch2= 264, ch3= 717, ch4= 865, ch5=   0, ts=1714038002828033,	delta=838,
seq_no=146,	ch0=1458, ch1= 760, ch2= 153, ch3= 563, ch4= 962, ch5=  11, ts=1714038002828874,	delta=841,
seq_no=147,	ch0=1361, ch1=1016, ch2=   0, ch3= 448, ch4=1017, ch5=  96, ts=1714038002829713,	delta=839,
seq_no=148,	ch0=1310, ch1=1126, ch2=   0, ch3= 265, ch4= 986, ch5= 241, ts=1714038002830600,	delta=887,
seq_no=149,	ch0=1002, ch1=1328, ch2=   2, ch3= 157, ch4=1010, ch5= 397, ts=1714038002831405,	delta=805,
seq_no=150,	ch0= 791, ch1=1474, ch2=  45, ch3=  66, ch4= 960, ch5= 540, ts=1714038002832243,	delta=838,
seq_no=151,	ch0= 585, ch1=1564, ch2= 183, ch3=   0, ch4= 864, ch5= 693, ts=1714038002833086,	delta=843,
seq_no=152,	ch0= 387, ch1=1606, ch2= 360, ch3=   0, ch4= 742, ch5= 821, ts=1714038002833927,	delta=841,
seq_no=153,	ch0= 224, ch1=1584, ch2= 576, ch3=   0, ch4= 603, ch5= 924, ts=1714038002834776,	delta=849,
seq_no=154,	ch0=  73, ch1=1504, ch2= 882, ch3=   4, ch4= 439, ch5= 998, ts=1714038002835610,	delta=834,
seq_no=155,	ch0=   0, ch1=1486, ch2=1038, ch3= 108, ch4= 320, ch5=1008, ts=1714038002836456,	delta=846,
seq_no=156,	ch0=   0, ch1=1188, ch2=1253, ch3= 245, ch4= 174, ch5=1044, ts=1714038002837298,	delta=842,
seq_no=157,	ch0=   0, ch1=1003, ch2=1452, ch3= 454, ch4=  90, ch5=1043, ts=1714038002838138,	delta=840,
seq_no=158,	ch0=  25, ch1= 791, ch2=1697, ch3= 568, ch4=  16, ch5= 985, ts=1714038002839148,	delta=1010,
seq_no=159,	ch0= 215, ch1= 612, ch2=1659, ch3= 716, ch4=   0, ch5= 926, ts=1714038002839860,	delta=712,
seq_no=160,	ch0= 339, ch1= 340, ch2=1735, ch3= 880, ch4=  10, ch5= 741, ts=1714038002840680,	delta=820,
seq_no=161,	ch0= 516, ch1= 217, ch2=1725, ch3= 971, ch4=   0, ch5= 608, ts=1714038002841519,	delta=839,
seq_no=162,	ch0= 727, ch1=  66, ch2=1615, ch3=1063, ch4=  38, ch5= 454, ts=1714038002842354,	delta=835,
seq_no=163,	ch0= 934, ch1=   0, ch2=1483, ch3=1123, ch4= 141, ch5= 330, ts=1714038002843210,	delta=856,
seq_no=164,	ch0=1124, ch1=   0, ch2=1302, ch3=1145, ch4= 261, ch5= 216, ts=1714038002844037,	delta=827,
seq_no=165,	ch0=1297, ch1=   0, ch2=1088, ch3=1143, ch4= 405, ch5=  99, ts=1714038002844882,	delta=845,
seq_no=166,	ch0=1426, ch1=  75, ch2= 856, ch3=1088, ch4= 561, ch5=  20, ts=1714038002845719,	delta=837,
seq_no=167,	ch0=1521, ch1= 197, ch2= 616, ch3= 989, ch4= 709, ch5=   0, ts=1714038002846614,	delta=895,
