seq_no=174,	ch0=  33, ch1=1472, ch2= 890, ch3=  22, ch4= 271, ch5= 754, ts=1714036229111478,	delta=834,
seq_no=175,	ch0=   0, ch1=1322, ch2=1231, ch3=  89, ch4= 162, ch5= 762, ts=1714036229112323,	delta=845,
seq_no=176,	ch0=  37, ch1=1176, ch2=1305, ch3= 210, ch4=  96, ch5= 661, ts=1714036229113164,	delta=841,
seq_no=177,	ch0=   0, ch1= 866, ch2=1505, ch3= 348, ch4=  81, ch5= 738, ts=1714036229114009,	delta=845,
seq_no=178,	ch0=  77, ch1= 716, ch2=1642, ch3= 445, ch4=   0, ch5= 700, ts=1714036229114859,	delta=850,
seq_no=179,	ch0= 218, ch1= 512, ch2=1717, ch3= 540, ch4=   0, ch5= 609, ts=1714036229115682,	delta=823,
seq_no=180,	ch0= 386, ch1= 320, ch2=1742, ch3= 626, ch4=   0, ch5= 509, ts=1714036229116527,	delta=845,
seq_no=181,	ch0= 594, ch1= 165, ch2=1694, ch3= 712, ch4=   0, ch5= 397, ts=1714036229117371,	delta=844,
seq_no=182,	ch0= 800, ch1=  39, ch2=1585, ch3= 769, ch4=  49, ch5= 285, ts=1714036229118214,	delta=843,
seq_no=183,	ch0= 992, ch1=   0, ch2=1431, ch3= 781, ch4= 125, ch5= 199, ts=1714036229119084,	delta=870,
seq_no=184,	ch0=1190, ch1=   0, ch2=1179, ch3= 802, ch4= 217, ch5= 194, ts=1714036229119910,	delta=826,
seq_no=185,	ch0=1346, ch1=  69, ch2= 986, ch3= 774, ch4= 325, ch5=  26, ts=1714036229120750,	delta=840,
seq_no=186,	ch0=1548, ch1= 100, ch2= 765, ch3= 719, ch4= 397, ch5=   0, ts=1714036229121592,	delta=842,
seq_no=187,	ch0=1513, ch1= 256, ch2= 521, ch3= 588, ch4= 500, ch5=   0, ts=1714036229122432,	delta=840,
seq_no=188,	ch0=1537, ch1= 473, ch2= 389, ch3= 544, ch4= 600, ch5=   0, ts=1714036229123342,	delta=910,
seq_no=189,	ch0=1472, ch1= 740, ch2= 138, ch3= 442, ch4= 654, ch5=   0, ts=1714036229124142,	delta=800,
