seq_no=84,	ch0= 848, ch1=2387, ch2= 337, ch3=   4, ch4=1170, ch5=1018, ts=1714036832394899,	delta=855,
seq_no=85,	ch0= 556, ch1=2408, ch2= 629, ch3=   0, ch4= 986, ch5=1185, ts=1714036832395724,	delta=825,
seq_no=86,	ch0= 306, ch1=2380, ch2= 940, ch3=   0, ch4= 785, ch5=1315, ts=1714036832396568,	delta=844,
seq_no=87,	ch0=  97, ch1=2252, ch2=1281, ch3=  25, ch4= 572, ch5=1420, ts=1714036832397409,	delta=841,
seq_no=88,	ch0=   0, ch1=2044, ch2=1632, ch3= 172, ch4= 400, ch5=1497, ts=1714036832398249,	delta=840,
seq_no=89,	ch0=   0, ch1=1780, ch2=1945, ch3= 378, ch4= 261, ch5=1515, ts=1714036832399106,	delta=857,
seq_no=90,	ch0=   0, ch1=1478, ch2=2232, ch3= 615, ch4= 131, ch5=1496, ts=1714036832399936,	delta=830,
seq_no=91,	ch0=  98, ch1=1176, ch2=2446, ch3= 835, ch4=  54, ch5=1411, ts=1714036832400776,	delta=840,
seq_no=92,	ch0= 274, ch1= 962, ch2=2564, ch3=1032, ch4=   0, ch5=1192, ts=1714036832401619,	delta=843,
seq_no=93,	ch0= 557, ch1= 513, ch2=2607, ch3=1200, ch4=   0, ch5=1046, ts=1714036832402465,	delta=846,
seq_no=94,	ch0= 785, ch1= 286, ch2=2588, ch3=1371, ch4=   0, ch5= 867, ts=1714036832403313,	delta=848,
seq_no=95,	ch0=1128, ch1= 107, ch2=2465, ch3=1472, ch4=  79, ch5= 628, ts=1714036832404148,	delta=835,
seq_no=96,	ch0=1461, ch1=   0, ch2=2200, ch3=1549, ch4= 206, ch5= 448, ts=1714036832404987,	delta=839,
seq_no=97,	ch0=1731, ch1=   0, ch2=1913, ch3=1584, ch4= 402, ch5= 276, ts=1714036832405835,	delta=848,
seq_no=98,	ch0=1984, ch1=   2, ch2=1596, ch3=1575, ch4= 619, ch5= 156, ts=1714036832406689,	delta=854,
seq_no=99,	ch0=2184, ch1= 147, ch2=1239, ch3=1504, ch4= 811, ch5=  50, ts=1714036832407521,	delta=832,
seq_no=100,	ch0=2309, ch1= 354, ch2= 902, ch3=1359, ch4= 972, ch5=   0, ts=1714036832408362,	delta=841,
seq_no=101,	ch0=2369, ch1= 618, ch2= 580, ch3=1141, ch4=1095, ch5=   0, ts=1714036832409202,	delta=840,
seq_no=102,	ch0=2254, ch1= 919, ch2= 315, ch3= 880, ch4=1232, ch5=   0, ts=1714036832410047,	delta=845,
seq_no=103,	ch0=2144, ch1=1244, ch2=  39, ch3= 679, ch4=1329, ch5= 141, ts=1714036832410900,	delta=853,
seq_no=104,	ch0=1983, ch1=1616, ch2=   0, ch3= 506, ch4=1383, ch5= 214, ts=1714036832411734,	delta=834,
seq_no=105,	ch0=1768, ch1=1831, ch2=  37, ch3= 347, ch4=1381, ch5= 437, ts=1714036832412577,	delta=843,
seq_no=106,	ch0=1367, ch1=2135, ch2=  16, ch3= 171, ch4=1373, ch5= 681, ts=1714036832413417,	delta=840,
seq_no=107,	ch0=1088, ch1=2293, ch2= 149, ch3=  71, ch4=1273, ch5= 879, ts=1714036832414259,	delta=842,
seq_no=108,	ch0= 779, ch1=2389, ch2= 404, ch3=   0, ch4=1116, ch5=1072, ts=1714036832415112,	delta=853,
seq_no=109,	ch0= 486, ch1=2417, ch2= 707, ch3=   0, ch4= 936, ch5=1216, ts=1714036832415946,	delta=834,
seq_no=110,	ch0= 237, ch1=2354, ch2=1053, ch3=   0, ch4= 724, ch5=1352, ts=1714036832416787,	delta=841,
seq_no=111,	ch0=  50, ch1=2196, ch2=1376, ch3=  57, ch4= 530, ch5=1442, ts=1714036832417629,	delta=842,
seq_no=112,	ch0=   0, ch1=1985, ch2=1713, ch3= 216, ch4= 367, ch5=1505, ts=1714036832418472,	delta=843,
seq_no=113,	ch0=   0, ch1=1709, ch2=2028, ch3= 436, ch4= 211, ch5=1514, ts=1714036832419324,	delta=852,
seq_no=114,	ch0=   0, ch1=1411, ch2=2294, ch3= 669, ch4= 104, ch5=1459, ts=1714036832420157,	delta=833,
seq_no=115,	ch0= 148, ch1=1082, ch2=2490, ch3= 895, ch4=  24, ch5=1376, ts=1714036832421001,	delta=844,
seq_no=116,	ch0= 338, ch1= 704, ch2=2589, ch3=1092, ch4=  36, ch5=1203, ts=1714036832421843,	delta=842,
seq_no=117,	ch0= 509, ch1= 480, ch2=2572, ch3=1312, ch4=   0, ch5=1002, ts=1714036832422694,	delta=851,
seq_no=118,	ch0= 920, ch1= 238, ch2=2603, ch3=1376, ch4=   0, ch5= 747, ts=1714036832423575,	delta=881,
seq_no=119,	ch0=1230, ch1=  45, ch2=2383, ch3=1496, ch4= 101, ch5= 576, ts=1714036832424550,	delta=975,
seq_no=120,	ch0=1532, ch1=   0, ch2=2117, ch3=1557, ch4= 260, ch5= 395, ts=1714036832425249,	delta=699,
seq_no=121,	ch0=1810, ch1=  13, ch2=1830, ch3=1584, ch4= 456, ch5= 251, ts=1714036832426068,	delta=819,
seq_no=122,	ch0=2044, ch1=  24, ch2=1489, ch3=1565, ch4= 669, ch5= 112, ts=1714036832426919,	delta=851,
seq_no=123,	ch0=2224, ch1= 184, ch2=1151, ch3=1472, ch4= 857, ch5=  20, ts=1714036832427749,	delta=830,
seq_no=124,	ch0=2316, ch1= 414, ch2= 800, ch3=1294, ch4= 990, ch5=   0, ts=1714036832428588,	delta=839,
seq_no=125,	ch0=2279, ch1= 696, ch2= 513, ch3=1104, ch4=1137, ch5=   0, ts=1714036832429428,	delta=840,
seq_no=126,	ch0=2247, ch1=1004, ch2= 320, ch3= 839, ch4=1254, ch5=   1, ts=1714036832430267,	delta=839,
seq_no=127,	ch0=2087, ch1=1407, ch2=  32, ch3= 631, ch4=1353, ch5=  79, ts=1714036832431121,	delta=854,
seq_no=128,	ch0=1887, ch1=1591, ch2=   0, ch3= 457, ch4=1308, ch5= 275, ts=1714036832431955,	delta=834,
seq_no=129,	ch0=1564, ch1=1908, ch2=  32, ch3= 210, ch4=1386, ch5= 515, ts=1714036832432796,	delta=841,
seq_no=130,	ch0=1295, ch1=2188, ch2= 109, ch3= 145, ch4=1372, ch5= 746, ts=1714036832433639,	delta=843,
seq_no=131,	ch0= 997, ch1=2333, ch2= 224, ch3=  45, ch4=1248, ch5= 926, ts=1714036832434479,	delta=840,
seq_no=132,	ch0= 692, ch1=2405, ch2= 473, ch3=   0, ch4=1088, ch5=1105, ts=1714036832435333,	delta=854,
seq_no=133,	ch0= 422, ch1=2411, ch2= 790, ch3=   0, ch4= 879, ch5=1264, ts=1714036832436169,	delta=836,
seq_no=134,	ch0= 188, ch1=2324, ch2=1134, ch3=   2, ch4= 660, ch5=1367, ts=1714036832437010,	delta=841,
seq_no=135,	ch0=  10, ch1=2151, ch2=1479, ch3=  89, ch4= 489, ch5=1463, ts=1714036832437854,	delta=844,
seq_no=136,	ch0=   0, ch1=1902, ch2=1824, ch3= 278, ch4= 320, ch5=1506, ts=1714036832438702,	delta=848,
seq_no=137,	ch0=   0, ch1=1648, ch2=2112, ch3= 485, ch4= 193, ch5=1511, ts=1714036832439539,	delta=837,
seq_no=138,	ch0=  37, ch1=1344, ch2=2352, ch3= 727, ch4=  78, ch5=1452, ts=1714036832440382,	delta=843,
seq_no=139,	ch0= 192, ch1= 984, ch2=2551, ch3= 943, ch4=   0, ch5=1334, ts=1714036832441225,	delta=843,
seq_no=140,	ch0= 491, ch1= 681, ch2=2609, ch3=1127, ch4=   0, ch5=1148, ts=1714036832442074,	delta=849,
seq_no=141,	ch0= 684, ch1= 480, ch2=2595, ch3=1254, ch4=   0, ch5= 963, ts=1714036832442916,	delta=842,
seq_no=142,	ch0=1043, ch1= 202, ch2=2444, ch3=1421, ch4=  34, ch5= 762, ts=1714036832443753,	delta=837,
seq_no=143,	ch0=1318, ch1=  20, ch2=2323, ch3=1512, ch4= 127, ch5= 526, ts=1714036832444594,	delta=841,
seq_no=144,	ch0=1603, ch1=   0, ch2=2059, ch3=1572, ch4= 306, ch5= 354, ts=1714036832445436,	delta=842,
seq_no=145,	ch0=1880, ch1=   0, ch2=1734, ch3=1587, ch4= 513, ch5= 213, ts=1714036832446280,	delta=844,
seq_no=146,	ch0=2097, ch1=  66, ch2=1404, ch3=1544, ch4= 704, ch5=  96, ts=1714036832447130,	delta=850,
seq_no=147,	ch0=2256, ch1= 243, ch2=1055, ch3=1432, ch4= 890, ch5=   4, ts=1714036832447965,	delta=835,
seq_no=148,	ch0=2274, ch1= 480, ch2= 714, ch3=1287, ch4=1049, ch5=   2, ts=1714036832448808,	delta=843,
seq_no=149,	ch0=2304, ch1= 770, ch2= 414, ch3=1010, ch4=1190, ch5=   0, ts=1714036832449650,	delta=842,
seq_no=150,	ch0=2240, ch1=1081, ch2= 157, ch3= 782, ch4=1278, ch5=   5, ts=1714036832450492,	delta=842,
seq_no=151,	ch0=2047, ch1=1387, ch2=   0, ch3= 594, ch4=1388, ch5= 146, ts=1714036832451342,	delta=850,
seq_no=152,	ch0=1733, ch1=1704, ch2=  26, ch3= 443, ch4=1395, ch5= 390, ts=1714036832452181,	delta=839,
seq_no=153,	ch0=1540, ch1=1999, ch2=  66, ch3= 252, ch4=1431, ch5= 589, ts=1714036832453024,	delta=843,
seq_no=154,	ch0=1216, ch1=2312, ch2=  69, ch3= 132, ch4=1313, ch5= 765, ts=1714036832453864,	delta=840,
seq_no=155,	ch0= 913, ch1=2367, ch2= 283, ch3=  24, ch4=1209, ch5= 979, ts=1714036832454716,	delta=852,
seq_no=156,	ch0= 620, ch1=2416, ch2= 566, ch3=   0, ch4=1033, ch5=1153, ts=1714036832455547,	delta=831,
seq_no=157,	ch0= 348, ch1=2401, ch2= 869, ch3=   0, ch4= 833, ch5=1294, ts=1714036832456389,	delta=842,
seq_no=158,	ch0= 137, ch1=2284, ch2=1225, ch3=   0, ch4= 610, ch5=1405, ts=1714036832457394,	delta=1005,
seq_no=159,	ch0=   0, ch1=2102, ch2=1569, ch3= 141, ch4= 438, ch5=1473, ts=1714036832458113,	delta=719,
seq_no=160,	ch0=   0, ch1=1840, ch2=1888, ch3= 320, ch4= 286, ch5=1512, ts=1714036832458935,	delta=822,
seq_no=161,	ch0=   0, ch1=1560, ch2=2174, ch3= 562, ch4= 158, ch5=1505, ts=1714036832459769,	delta=834,
seq_no=162,	ch0=  75, ch1=1248, ch2=2414, ch3= 786, ch4=  56, ch5=1427, ts=1714036832460607,	delta=838,
seq_no=163,	ch0= 253, ch1= 922, ch2=2576, ch3= 998, ch4=   0, ch5=1292, ts=1714036832461451,	delta=844,
seq_no=164,	ch0= 458, ch1= 618, ch2=2603, ch3=1136, ch4=   0, ch5=1128, ts=1714036832462292,	delta=841,
seq_no=165,	ch0= 781, ch1= 335, ch2=2457, ch3=1319, ch4=   0, ch5= 973, ts=1714036832463142,	delta=850,
seq_no=166,	ch0=1102, ch1=  64, ch2=2447, ch3=1436, ch4= 150, ch5= 641, ts=1714036832463976,	delta=834,
seq_no=167,	ch0=1403, ch1=   0, ch2=2252, ch3=1537, ch4= 168, ch5= 480, ts=1714036832464817,	delta=841,
seq_no=168,	ch0=1683, ch1=   2, ch2=1985, ch3=1593, ch4= 358, ch5= 308, ts=1714036832465659,	delta=842,
seq_no=169,	ch0=1942, ch1=   0, ch2=1666, ch3=1594, ch4= 562, ch5= 178, ts=1714036832466503,	delta=844,
seq_no=170,	ch0=2145, ch1= 105, ch2=1325, ch3=1516, ch4= 765, ch5=  75, ts=1714036832467351,	delta=848,
seq_no=171,	ch0=2291, ch1= 305, ch2= 968, ch3=1387, ch4= 932, ch5=   0, ts=1714036832468194,	delta=843,
seq_no=172,	ch0=2316, ch1= 594, ch2= 646, ch3=1176, ch4=1088, ch5=   0, ts=1714036832469029,	delta=835,
seq_no=173,	ch0=2300, ch1= 841, ch2= 323, ch3= 961, ch4=1216, ch5=  33, ts=1714036832469875,	delta=846,
seq_no=174,	ch0=2167, ch1=1128, ch2= 110, ch3= 721, ch4=1344, ch5=  54, ts=1714036832470723,	delta=848,
seq_no=175,	ch0=1943, ch1=1483, ch2=   0, ch3= 576, ch4=1363, ch5= 194, ts=1714036832471559,	delta=836,
seq_no=176,	ch0=1728, ch1=1783, ch2=  96, ch3= 360, ch4=1405, ch5= 385, ts=1714036832472403,	delta=844,
seq_no=177,	ch0=1484, ch1=2045, ch2=   0, ch3= 233, ch4=1372, ch5= 535, ts=1714036832473284,	delta=881,
seq_no=178,	ch0=1187, ch1=2208, ch2= 118, ch3= 109, ch4=1231, ch5= 829, ts=1714036832474094,	delta=810,
