seq_no=89,	ch0=2368, ch1= 448, ch2= 745, ch3= 521, ch4= 437, ch5=   0, ts=1714036655181091,	delta=843,
seq_no=90,	ch0=2264, ch1= 773, ch2= 412, ch3= 353, ch4= 530, ch5=   0, ts=1714036655181933,	delta=842,
seq_no=91,	ch0=2220, ch1=1112, ch2= 245, ch3= 299, ch4= 585, ch5=  20, ts=1714036655182781,	delta=848,
seq_no=92,	ch0=2071, ch1=1408, ch2=   5, ch3= 231, ch4= 602, ch5=  53, ts=1714036655183616,	delta=835,
seq_no=93,	ch0=1818, ch1=1711, ch2=   0, ch3= 152, ch4= 625, ch5= 122, ts=1714036655184456,	delta=840,
seq_no=94,	ch0=1553, ch1=1975, ch2=   0, ch3=  86, ch4= 602, ch5= 214, ts=1714036655185298,	delta=842,
seq_no=95,	ch0=1248, ch1=2200, ch2=  55, ch3=  35, ch4= 576, ch5= 311, ts=1714036655186142,	delta=844,
seq_no=96,	ch0= 928, ch1=2356, ch2= 272, ch3=   0, ch4= 517, ch5= 399, ts=1714036655186991,	delta=849,
seq_no=97,	ch0= 627, ch1=2335, ch2= 541, ch3=   0, ch4= 482, ch5= 461, ts=1714036655187826,	delta=835,
seq_no=98,	ch0= 313, ch1=2398, ch2= 852, ch3=  64, ch4= 352, ch5= 527, ts=1714036655188668,	delta=842,
seq_no=99,	ch0= 117, ch1=2287, ch2=1198, ch3=   0, ch4= 264, ch5= 583, ts=1714036655189511,	delta=843,
seq_no=100,	ch0=   0, ch1=2099, ch2=1505, ch3=  64, ch4= 183, ch5= 692, ts=1714036655190354,	delta=843,
seq_no=101,	ch0=  30, ch1=1926, ch2=1856, ch3= 154, ch4= 123, ch5= 582, ts=1714036655191202,	delta=848,
seq_no=102,	ch0= 105, ch1=1544, ch2=2165, ch3= 218, ch4=   6, ch5= 601, ts=1714036655192038,	delta=836,
seq_no=103,	ch0=   2, ch1=1276, ch2=2416, ch3= 250, ch4=   0, ch5= 563, ts=1714036655192877,	delta=839,
seq_no=104,	ch0= 230, ch1= 925, ch2=2560, ch3= 426, ch4=   0, ch5= 514, ts=1714036655193721,	delta=844,
seq_no=105,	ch0= 469, ch1= 617, ch2=2606, ch3= 497, ch4=   0, ch5= 448, ts=1714036655194685,	delta=964,
seq_no=106,	ch0= 763, ch1= 343, ch2=2584, ch3= 569, ch4=   0, ch5= 359, ts=1714036655195479,	delta=794,
seq_no=107,	ch0=1068, ch1= 137, ch2=2471, ch3= 612, ch4=  16, ch5= 269, ts=1714036655196263,	delta=784,
seq_no=108,	ch0=1385, ch1=   0, ch2=2265, ch3= 645, ch4=  68, ch5= 184, ts=1714036655197105,	delta=842,
seq_no=109,	ch0=1684, ch1=  13, ch2=1984, ch3= 663, ch4= 139, ch5= 107, ts=1714036655197935,	delta=830,
seq_no=110,	ch0=1928, ch1=   0, ch2=1679, ch3= 655, ch4= 240, ch5=  45, ts=1714036655198790,	delta=855,
seq_no=111,	ch0=2153, ch1=  86, ch2=1336, ch3= 622, ch4= 330, ch5=  10, ts=1714036655199621,	delta=831,
seq_no=112,	ch0=2265, ch1= 292, ch2= 972, ch3= 543, ch4= 430, ch5=   0, ts=1714036655200463,	delta=842,
seq_no=113,	ch0=2319, ch1= 566, ch2= 549, ch3= 484, ch4= 476, ch5=  91, ts=1714036655201304,	delta=841,
seq_no=114,	ch0=2318, ch1= 917, ch2= 358, ch3= 442, ch4= 543, ch5=   0, ts=1714036655202144,	delta=840,
seq_no=115,	ch0=2260, ch1=1138, ch2= 133, ch3= 290, ch4= 527, ch5=   5, ts=1714036655202994,	delta=850,
seq_no=116,	ch0=1999, ch1=1483, ch2=   0, ch3= 210, ch4= 611, ch5=  78, ts=1714036655203831,	delta=837,
seq_no=117,	ch0=1760, ch1=1775, ch2=   0, ch3= 137, ch4= 615, ch5= 156, ts=1714036655204672,	delta=841,
seq_no=118,	ch0=1473, ch1=2043, ch2=   2, ch3=  64, ch4= 594, ch5= 246, ts=1714036655205515,	delta=843,
seq_no=119,	ch0=1169, ch1=2246, ch2= 107, ch3=  22, ch4= 554, ch5= 340, ts=1714036655206549,	delta=1034,
seq_no=120,	ch0= 858, ch1=2382, ch2= 325, ch3=   0, ch4= 496, ch5= 409, ts=1714036655207237,	delta=688,
seq_no=121,	ch0= 541, ch1=2412, ch2= 613, ch3=   0, ch4= 432, ch5= 490, ts=1714036655208057,	delta=820,
seq_no=122,	ch0= 312, ch1=2375, ch2= 912, ch3=   0, ch4= 334, ch5= 565, ts=1714036655208891,	delta=834,
seq_no=123,	ch0=  96, ch1=2212, ch2=1264, ch3=  17, ch4= 296, ch5= 581, ts=1714036655209729,	delta=838,
seq_no=124,	ch0=  17, ch1=2040, ch2=1632, ch3=  64, ch4= 145, ch5= 610, ts=1714036655210616,	delta=887,
seq_no=125,	ch0=   0, ch1=1789, ch2=1937, ch3= 114, ch4=  73, ch5= 612, ts=1714036655211420,	delta=804,
seq_no=126,	ch0=   0, ch1=1500, ch2=2119, ch3= 258, ch4=  24, ch5= 696, ts=1714036655212257,	delta=837,
seq_no=127,	ch0=  78, ch1=1262, ch2=2427, ch3= 370, ch4=   0, ch5= 525, ts=1714036655213096,	delta=839,
seq_no=128,	ch0= 292, ch1= 845, ch2=2577, ch3= 448, ch4=   0, ch5= 507, ts=1714036655214004,	delta=908,
seq_no=129,	ch0= 552, ch1= 547, ch2=2598, ch3= 514, ch4=   0, ch5= 421, ts=1714036655214817,	delta=813,
seq_no=130,	ch0= 847, ch1= 293, ch2=2570, ch3= 579, ch4=   0, ch5= 338, ts=1714036655215635,	delta=818,
seq_no=131,	ch0=1140, ch1=  89, ch2=2432, ch3= 627, ch4=  26, ch5= 243, ts=1714036655216468,	delta=833,
seq_no=132,	ch0=1452, ch1=   2, ch2=2205, ch3= 656, ch4=  85, ch5= 159, ts=1714036655217312,	delta=844,
seq_no=133,	ch0=1712, ch1=   0, ch2=1930, ch3= 674, ch4= 173, ch5= 101, ts=1714036655218153,	delta=841,
seq_no=134,	ch0=1966, ch1=  20, ch2=1601, ch3= 640, ch4= 267, ch5=  43, ts=1714036655219001,	delta=848,
seq_no=135,	ch0=2173, ch1= 141, ch2=1253, ch3= 588, ch4= 354, ch5=   0, ts=1714036655219837,	delta=836,
seq_no=136,	ch0=2325, ch1= 407, ch2= 888, ch3= 553, ch4= 457, ch5=   0, ts=1714036655220678,	delta=841,
seq_no=137,	ch0=2337, ch1= 620, ch2= 634, ch3= 482, ch4= 470, ch5=   0, ts=1714036655221523,	delta=845,
seq_no=138,	ch0=2244, ch1= 917, ch2= 304, ch3= 341, ch4= 554, ch5=  10, ts=1714036655222364,	delta=841,
seq_no=139,	ch0=2143, ch1=1232, ch2=  96, ch3= 279, ch4= 596, ch5=  52, ts=1714036655223211,	delta=847,
seq_no=140,	ch0=1941, ch1=1558, ch2=   0, ch3= 183, ch4= 622, ch5=  96, ts=1714036655224048,	delta=837,
seq_no=141,	ch0=1683, ch1=1856, ch2=   0, ch3= 107, ch4= 602, ch5= 177, ts=1714036655224887,	delta=839,
seq_no=142,	ch0=1396, ch1=2099, ch2=   1, ch3=  64, ch4= 594, ch5= 261, ts=1714036655225733,	delta=846,
seq_no=143,	ch0=1078, ch1=2282, ch2= 150, ch3=   2, ch4= 546, ch5= 352, ts=1714036655226624,	delta=891,
seq_no=144,	ch0= 772, ch1=2400, ch2= 397, ch3=   0, ch4= 485, ch5= 438, ts=1714036655227421,	delta=797,
seq_no=145,	ch0= 482, ch1=2380, ch2= 676, ch3=   0, ch4= 440, ch5= 506, ts=1714036655228262,	delta=841,
seq_no=146,	ch0= 184, ch1=2352, ch2=1012, ch3=  34, ch4= 299, ch5= 563, ts=1714036655229102,	delta=840,
seq_no=147,	ch0=  49, ch1=2207, ch2=1360, ch3=  21, ch4= 213, ch5= 597, ts=1714036655229945,	delta=843,
seq_no=148,	ch0=   0, ch1=1959, ch2=1614, ch3=  96, ch4= 132, ch5= 682, ts=1714036655230792,	delta=847,
seq_no=149,	ch0=   1, ch1=1646, ch2=2023, ch3= 180, ch4= 171, ch5= 594, ts=1714036655231629,	delta=837,
seq_no=150,	ch0= 100, ch1=1395, ch2=2299, ch3= 293, ch4=   5, ch5= 584, ts=1714036655232471,	delta=842,
seq_no=151,	ch0= 125, ch1=1090, ch2=2488, ch3= 363, ch4=   0, ch5= 552, ts=1714036655233310,	delta=839,
seq_no=152,	ch0= 352, ch1= 776, ch2=2594, ch3= 466, ch4=   0, ch5= 490, ts=1714036655234153,	delta=843,
seq_no=153,	ch0= 621, ch1= 487, ch2=2600, ch3= 529, ch4=   0, ch5= 409, ts=1714036655235001,	delta=848,
seq_no=154,	ch0= 921, ch1= 240, ch2=2547, ch3= 595, ch4=   0, ch5= 308, ts=1714036655235836,	delta=835,
seq_no=155,	ch0=1222, ch1=  50, ch2=2380, ch3= 640, ch4=  38, ch5= 224, ts=1714036655236679,	delta=843,
seq_no=156,	ch0=1532, ch1=   2, ch2=2140, ch3= 654, ch4= 105, ch5= 151, ts=1714036655237520,	delta=841,
seq_no=157,	ch0=1818, ch1=   1, ch2=1836, ch3= 649, ch4= 199, ch5=  89, ts=1714036655238364,	delta=844,
seq_no=158,	ch0=2040, ch1=   9, ch2=1516, ch3= 621, ch4= 284, ch5=  27, ts=1714036655239420,	delta=1056,
seq_no=159,	ch0=2222, ch1= 186, ch2=1155, ch3= 604, ch4= 365, ch5=   0, ts=1714036655240092,	delta=672,
seq_no=160,	ch0=2276, ch1= 406, ch2= 803, ch3= 482, ch4= 437, ch5=   0, ts=1714036655240905,	delta=813,
seq_no=161,	ch0=2316, ch1= 694, ch2= 438, ch3= 450, ch4= 514, ch5=  90, ts=1714036655241743,	delta=838,
seq_no=162,	ch0=2254, ch1=1076, ch2= 206, ch3= 388, ch4= 578, ch5=   0, ts=1714036655242693,	delta=950,
seq_no=163,	ch0=2099, ch1=1317, ch2=  34, ch3= 245, ch4= 608, ch5=  45, ts=1714036655243433,	delta=740,
seq_no=164,	ch0=1884, ch1=1626, ch2=   5, ch3= 160, ch4= 608, ch5= 110, ts=1714036655244262,	delta=829,
seq_no=165,	ch0=1615, ch1=1916, ch2=   0, ch3= 101, ch4= 602, ch5= 192, ts=1714036655245515,	delta=1253,
seq_no=166,	ch0=1318, ch1=2160, ch2=  38, ch3=  44, ch4= 586, ch5= 297, ts=1714036655245989,	delta=474,
seq_no=167,	ch0= 995, ch1=2320, ch2= 210, ch3=   0, ch4= 538, ch5= 389, ts=1714036655246816,	delta=827,
seq_no=168,	ch0= 732, ch1=2405, ch2= 451, ch3=  37, ch4= 463, ch5= 451, ts=1714036655247636,	delta=820,
seq_no=169,	ch0= 410, ch1=2416, ch2= 782, ch3=   0, ch4= 386, ch5= 535, ts=1714036655248476,	delta=840,
seq_no=170,	ch0= 185, ch1=2328, ch2=1074, ch3=   0, ch4= 282, ch5= 632, ts=1714036655249319,	delta=843,
seq_no=171,	ch0=  11, ch1=2211, ch2=1454, ch3=  51, ch4= 205, ch5= 587, ts=1714036655250161,	delta=842,
seq_no=172,	ch0=  90, ch1=1904, ch2=1815, ch3= 129, ch4=  93, ch5= 616, ts=1714036655251013,	delta=852,
