seq_no=104,	ch0=2288, ch1=2353, ch2=   1, ch3= 277, ch4=  20, ch5=  64, ts=1713174155796929,	delta=845,
seq_no=105,	ch0=2362, ch1=1968, ch2=   0, ch3= 308, ch4=   0, ch5= 101, ts=1713174155797770,	delta=841,
seq_no=106,	ch0=2376, ch1=1534, ch2= 121, ch3= 325, ch4=   0, ch5= 186, ts=1713174155798651,	delta=881,
seq_no=107,	ch0=2467, ch1=1111, ch2= 417, ch3= 268, ch4=   0, ch5= 199, ts=1713174155799460,	delta=809,
seq_no=108,	ch0=2468, ch1= 699, ch2= 767, ch3= 217, ch4=   0, ch5= 234, ts=1713174155800298,	delta=838,
seq_no=109,	ch0=2455, ch1= 349, ch2=1202, ch3= 180, ch4=   0, ch5= 245, ts=1713174155801142,	delta=844,
seq_no=110,	ch0=2440, ch1=  86, ch2=1656, ch3= 137, ch4=  14, ch5= 254, ts=1713174155801982,	delta=840,
seq_no=111,	ch0=2392, ch1=  24, ch2=2115, ch3= 101, ch4=  37, ch5= 260, ts=1713174155802832,	delta=850,
seq_no=112,	ch0=2210, ch1=  13, ch2=2552, ch3=  67, ch4=  73, ch5= 259, ts=1713174155803659,	delta=827,
seq_no=113,	ch0=1823, ch1=   1, ch2=2656, ch3=  39, ch4=  93, ch5= 256, ts=1713174155804499,	delta=840,
seq_no=114,	ch0=1420, ch1= 126, ch2=2695, ch3=  30, ch4= 136, ch5= 242, ts=1713174155805343,	delta=844,
seq_no=115,	ch0=1004, ch1= 410, ch2=2719, ch3=  37, ch4= 187, ch5= 220, ts=1713174155806243,	delta=900,
seq_no=116,	ch0= 621, ch1= 691, ch2=2727, ch3=  14, ch4= 267, ch5= 162, ts=1713174155807063,	delta=820,
seq_no=117,	ch0= 307, ch1=1135, ch2=2724, ch3=  34, ch4= 274, ch5= 126, ts=1713174155807890,	delta=827,
seq_no=118,	ch0=  30, ch1=1580, ch2=2699, ch3=  37, ch4= 186, ch5=  93, ts=1713174155808724,	delta=834,
seq_no=119,	ch0=  73, ch1=2017, ch2=2671, ch3=  65, ch4= 229, ch5=  54, ts=1713174155809890,	delta=1166,
seq_no=120,	ch0=   0, ch1=2401, ch2=2461, ch3=  88, ch4= 250, ch5=  20, ts=1713174155810455,	delta=565,
seq_no=121,	ch0=   0, ch1=2504, ch2=2035, ch3= 133, ch4= 236, ch5=   9, ts=1713174155811280,	delta=825,
seq_no=122,	ch0= 123, ch1=2531, ch2=1568, ch3= 172, ch4= 233, ch5=   0, ts=1713174155812099,	delta=819,
seq_no=123,	ch0= 404, ch1=2559, ch2=1103, ch3= 212, ch4= 206, ch5=   0, ts=1713174155812935,	delta=836,
seq_no=124,	ch0= 760, ch1=2559, ch2= 679, ch3= 240, ch4= 174, ch5=   0, ts=1713174155813779,	delta=844,
seq_no=125,	ch0=1147, ch1=2553, ch2= 349, ch3= 261, ch4= 146, ch5=   0, ts=1713174155814672,	delta=893,
seq_no=126,	ch0=1555, ch1=2520, ch2=   4, ch3= 274, ch4=  98, ch5=  86, ts=1713174155815468,	delta=796,
seq_no=127,	ch0=1955, ch1=2483, ch2=   0, ch3= 279, ch4=  49, ch5=  66, ts=1713174155816306,	delta=838,
seq_no=128,	ch0=2342, ch1=2265, ch2=   0, ch3= 277, ch4=  13, ch5=   0, ts=1713174155817143,	delta=837,
seq_no=129,	ch0=2396, ch1=1964, ch2=   0, ch3= 301, ch4=   9, ch5=  40, ts=1713174155817986,	delta=843,
seq_no=130,	ch0=2471, ch1=1484, ch2= 152, ch3= 311, ch4=   0, ch5= 121, ts=1713174155818840,	delta=854,
seq_no=131,	ch0=2465, ch1= 974, ch2= 482, ch3= 251, ch4=   5, ch5= 192, ts=1713174155819670,	delta=830,
seq_no=132,	ch0=2467, ch1= 608, ch2= 874, ch3= 207, ch4=   0, ch5= 229, ts=1713174155820514,	delta=844,
seq_no=133,	ch0=2457, ch1= 272, ch2=1320, ch3= 170, ch4=   0, ch5= 249, ts=1713174155821354,	delta=840,
seq_no=134,	ch0=2430, ch1=  24, ch2=1788, ch3= 119, ch4=  16, ch5= 270, ts=1713174155822196,	delta=842,
seq_no=135,	ch0=2380, ch1=  13, ch2=2241, ch3=  80, ch4=  27, ch5= 270, ts=1713174155823048,	delta=852,
seq_no=136,	ch0=2113, ch1=   9, ch2=2608, ch3=  47, ch4=  66, ch5= 267, ts=1713174155823882,	delta=834,
seq_no=137,	ch0=1698, ch1=  23, ch2=2680, ch3=  39, ch4= 113, ch5= 267, ts=1713174155824723,	delta=841,
seq_no=138,	ch0=1300, ch1= 200, ch2=2708, ch3=   0, ch4= 154, ch5= 226, ts=1713174155825564,	delta=841,
seq_no=139,	ch0= 896, ch1= 495, ch2=2728, ch3=  13, ch4= 193, ch5= 230, ts=1713174155826406,	delta=842,
seq_no=140,	ch0= 518, ch1= 848, ch2=2753, ch3=  16, ch4= 225, ch5= 181, ts=1713174155827260,	delta=854,
seq_no=141,	ch0= 225, ch1=1284, ch2=2710, ch3=  19, ch4= 228, ch5= 129, ts=1713174155828092,	delta=832,
seq_no=142,	ch0=   0, ch1=1696, ch2=2648, ch3=  34, ch4= 265, ch5= 181, ts=1713174155828935,	delta=843,
seq_no=143,	ch0=   0, ch1=2112, ch2=2647, ch3=  64, ch4= 253, ch5=  53, ts=1713174155829775,	delta=840,
seq_no=144,	ch0=   0, ch1=2453, ch2=2353, ch3=  96, ch4= 244, ch5=  29, ts=1713174155830660,	delta=885,
seq_no=145,	ch0=   0, ch1=2511, ch2=1920, ch3= 148, ch4= 241, ch5=  13, ts=1713174155831467,	delta=807,
seq_no=146,	ch0= 187, ch1=2548, ch2=1436, ch3= 182, ch4= 221, ch5=   0, ts=1713174155832307,	delta=840,
seq_no=147,	ch0= 490, ch1=2561, ch2= 984, ch3= 225, ch4= 198, ch5=   4, ts=1713174155833148,	delta=841,
seq_no=148,	ch0= 856, ch1=2555, ch2= 576, ch3= 242, ch4= 159, ch5=   1, ts=1713174155833989,	delta=841,
seq_no=149,	ch0=1314, ch1=2544, ch2= 267, ch3= 261, ch4= 109, ch5=   5, ts=1713174155834839,	delta=850,
seq_no=150,	ch0=1615, ch1=2521, ch2=   9, ch3= 347, ch4=  71, ch5=  21, ts=1713174155835668,	delta=829,
seq_no=151,	ch0=2034, ch1=2464, ch2=  11, ch3= 299, ch4=  42, ch5=  48, ts=1713174155836508,	delta=840,
seq_no=152,	ch0=2316, ch1=2146, ch2=   4, ch3= 315, ch4=  13, ch5=  83, ts=1713174155837349,	delta=841,
seq_no=153,	ch0=2425, ch1=1737, ch2=   0, ch3= 210, ch4=   0, ch5= 109, ts=1713174155838191,	delta=842,
seq_no=154,	ch0=2459, ch1=1324, ch2= 249, ch3= 224, ch4=   0, ch5= 209, ts=1713174155839054,	delta=863,
seq_no=155,	ch0=2461, ch1= 883, ch2= 576, ch3= 237, ch4=   0, ch5= 215, ts=1713174155839890,	delta=836,
seq_no=156,	ch0=2458, ch1= 508, ch2= 975, ch3= 205, ch4=   0, ch5= 239, ts=1713174155840727,	delta=837,
seq_no=157,	ch0=2446, ch1= 192, ch2=1430, ch3= 160, ch4=   9, ch5= 251, ts=1713174155841571,	delta=844,
seq_no=158,	ch0=2427, ch1=  19, ch2=1899, ch3= 123, ch4=  26, ch5= 262, ts=1713174155842667,	delta=1096,
seq_no=159,	ch0=2343, ch1=   5, ch2=2355, ch3=  82, ch4=  49, ch5= 265, ts=1713174155843288,	delta=621,
seq_no=160,	ch0=2019, ch1=  16, ch2=2639, ch3=  51, ch4=  87, ch5= 239, ts=1713174155844112,	delta=824,
seq_no=161,	ch0=1603, ch1=  31, ch2=2690, ch3=  49, ch4= 128, ch5= 245, ts=1713174155844944,	delta=832,
seq_no=162,	ch0=1198, ch1= 203, ch2=2716, ch3=  25, ch4= 162, ch5= 220, ts=1713174155845783,	delta=839,
seq_no=163,	ch0= 799, ch1= 563, ch2=2727, ch3=  32, ch4= 195, ch5= 209, ts=1713174155846668,	delta=885,
seq_no=164,	ch0= 582, ch1= 942, ch2=2739, ch3=  18, ch4= 174, ch5= 165, ts=1713174155847474,	delta=806,
seq_no=165,	ch0= 224, ch1=1376, ch2=2706, ch3=  34, ch4= 218, ch5= 123, ts=1713174155848311,	delta=837,
seq_no=166,	ch0=  20, ch1=1816, ch2=2639, ch3=  66, ch4= 229, ch5=  79, ts=1713174155849152,	delta=841,
seq_no=167,	ch0=   0, ch1=2215, ch2=2617, ch3=  70, ch4= 247, ch5=  34, ts=1713174155849993,	delta=841,
seq_no=168,	ch0=   0, ch1=2475, ch2=2240, ch3= 113, ch4= 245, ch5=  17, ts=1713174155850843,	delta=850,
