seq_no=98,	ch0=1812, ch1=2512, ch2=  13, ch3= 721, ch4= 210, ch5=  82, ts=1713174384730258,	delta=841,
seq_no=99,	ch0=2176, ch1=2403, ch2=  11, ch3= 716, ch4= 133, ch5= 166, ts=1713174384731110,	delta=852,
seq_no=100,	ch0=2388, ch1=2012, ch2=  76, ch3= 719, ch4=  58, ch5= 254, ts=1713174384731945,	delta=835,
seq_no=101,	ch0=2432, ch1=1593, ch2=  91, ch3= 704, ch4=  17, ch5= 362, ts=1713174384732782,	delta=837,
seq_no=102,	ch0=2460, ch1=1143, ch2= 239, ch3= 651, ch4=   0, ch5= 554, ts=1713174384733628,	delta=846,
seq_no=103,	ch0=2471, ch1= 765, ch2= 659, ch3= 558, ch4=   1, ch5= 501, ts=1713174384734470,	delta=842,
seq_no=104,	ch0=2448, ch1= 506, ch2=1114, ch3= 468, ch4=  13, ch5= 548, ts=1713174384735324,	delta=854,
seq_no=105,	ch0=2438, ch1= 128, ch2=1596, ch3= 355, ch4=  25, ch5= 651, ts=1713174384736155,	delta=831,
seq_no=106,	ch0=2403, ch1=  25, ch2=2053, ch3= 249, ch4=  77, ch5= 679, ts=1713174384736996,	delta=841,
seq_no=107,	ch0=2267, ch1=  20, ch2=2485, ch3= 166, ch4= 165, ch5= 687, ts=1713174384737837,	delta=841,
seq_no=108,	ch0=1880, ch1=  21, ch2=2660, ch3= 104, ch4= 267, ch5= 677, ts=1713174384738689,	delta=852,
seq_no=109,	ch0=1477, ch1=  89, ch2=2700, ch3=  58, ch4= 359, ch5= 647, ts=1713174384739525,	delta=836,
seq_no=110,	ch0=1066, ch1= 354, ch2=2720, ch3=  12, ch4= 450, ch5= 577, ts=1713174384740365,	delta=840,
seq_no=111,	ch0= 687, ch1= 710, ch2=2738, ch3=  13, ch4= 525, ch5= 496, ts=1713174384741208,	delta=843,
seq_no=112,	ch0= 344, ch1=1108, ch2=2722, ch3=  18, ch4= 598, ch5= 392, ts=1713174384742051,	delta=843,
seq_no=113,	ch0=  66, ch1=1520, ch2=2704, ch3=  50, ch4= 630, ch5= 294, ts=1713174384742904,	delta=853,
seq_no=114,	ch0=   0, ch1=1919, ch2=2554, ch3= 121, ch4= 652, ch5= 289, ts=1713174384743739,	delta=835,
seq_no=115,	ch0=  24, ch1=2356, ch2=2472, ch3= 194, ch4= 671, ch5= 170, ts=1713174384744580,	delta=841,
seq_no=116,	ch0=  34, ch1=2483, ch2=2057, ch3= 292, ch4= 625, ch5=   0, ts=1713174384745419,	delta=839,
seq_no=117,	ch0=  96, ch1=2531, ch2=1636, ch3= 400, ch4= 611, ch5=  14, ts=1713174384746264,	delta=845,
seq_no=118,	ch0= 361, ch1=2557, ch2=1173, ch3= 503, ch4= 547, ch5=   0, ts=1713174384747115,	delta=851,
seq_no=119,	ch0= 704, ch1=2559, ch2= 738, ch3= 583, ch4= 464, ch5=   0, ts=1713174384748240,	delta=1125,
seq_no=120,	ch0=1092, ch1=2545, ch2= 362, ch3= 648, ch4= 374, ch5=   8, ts=1713174384748839,	delta=599,
seq_no=121,	ch0=1499, ch1=2535, ch2=  70, ch3= 698, ch4= 280, ch5=  43, ts=1713174384749652,	delta=813,
seq_no=122,	ch0=1896, ch1=2490, ch2=  14, ch3= 694, ch4= 179, ch5=  97, ts=1713174384750487,	delta=835,
seq_no=123,	ch0=2273, ch1=2307, ch2=   5, ch3= 719, ch4= 109, ch5= 182, ts=1713174384751340,	delta=853,
seq_no=124,	ch0=2415, ch1=1918, ch2=   2, ch3= 719, ch4=  64, ch5= 290, ts=1713174384752167,	delta=827,
seq_no=125,	ch0=2451, ch1=1484, ch2= 197, ch3= 693, ch4=   9, ch5= 387, ts=1713174384753008,	delta=841,
seq_no=126,	ch0=2452, ch1=1035, ch2= 303, ch3= 632, ch4=   0, ch5= 600, ts=1713174384753846,	delta=838,
seq_no=127,	ch0=2488, ch1= 672, ch2= 758, ch3= 550, ch4=  20, ch5= 620, ts=1713174384754697,	delta=851,
seq_no=128,	ch0=2424, ch1= 346, ch2=1230, ch3= 434, ch4=   0, ch5= 549, ts=1713174384756888,	delta=2191,
seq_no=129,	ch0=2435, ch1=  49, ch2=1708, ch3= 335, ch4=  41, ch5= 664, ts=1713174384756952,	delta=64,
seq_no=130,	ch0=2387, ch1=  16, ch2=2174, ch3= 239, ch4= 102, ch5= 680, ts=1713174384757326,	delta=374,
seq_no=131,	ch0=2161, ch1=   2, ch2=2565, ch3= 156, ch4= 186, ch5= 677, ts=1713174384758088,	delta=762,
seq_no=132,	ch0=1768, ch1=   8, ch2=2674, ch3=  98, ch4= 290, ch5= 664, ts=1713174384758939,	delta=851,
seq_no=133,	ch0=1363, ch1= 158, ch2=2712, ch3=  41, ch4= 393, ch5= 632, ts=1713174384759756,	delta=817,
seq_no=134,	ch0= 936, ch1= 437, ch2=2721, ch3=  10, ch4= 483, ch5= 567, ts=1713174384760595,	delta=839,
seq_no=135,	ch0= 577, ch1= 794, ch2=2736, ch3=   1, ch4= 546, ch5= 469, ts=1713174384761450,	delta=855,
seq_no=136,	ch0= 261, ch1=1224, ch2=2722, ch3=  11, ch4= 609, ch5= 373, ts=1713174384762278,	delta=828,
seq_no=137,	ch0=   0, ch1=1632, ch2=2744, ch3=  51, ch4= 658, ch5= 275, ts=1713174384763133,	delta=855,
seq_no=138,	ch0=   0, ch1=2068, ch2=2641, ch3= 119, ch4= 660, ch5= 173, ts=1713174384763956,	delta=823,
seq_no=139,	ch0=   0, ch1=2400, ch2=2316, ch3= 211, ch4= 654, ch5= 206, ts=1713174384764793,	delta=837,
seq_no=140,	ch0=  17, ch1=2522, ch2=1926, ch3= 325, ch4= 666, ch5= 106, ts=1713174384765637,	delta=844,
seq_no=141,	ch0= 155, ch1=2534, ch2=1510, ch3= 420, ch4= 594, ch5=  12, ts=1713174384766478,	delta=841,
seq_no=142,	ch0= 450, ch1=2552, ch2=1053, ch3= 517, ch4= 529, ch5=  11, ts=1713174384767353,	delta=875,
seq_no=143,	ch0= 807, ch1=2556, ch2= 625, ch3= 603, ch4= 438, ch5=   0, ts=1713174384768184,	delta=831,
seq_no=144,	ch0=1203, ch1=2542, ch2= 280, ch3= 666, ch4= 341, ch5=   4, ts=1713174384769017,	delta=833,
seq_no=145,	ch0=1615, ch1=2525, ch2=  20, ch3= 708, ch4= 242, ch5=  50, ts=1713174384769862,	delta=845,
seq_no=146,	ch0=1968, ch1=2478, ch2=  16, ch3= 762, ch4= 162, ch5= 133, ts=1713174384770714,	delta=852,
seq_no=147,	ch0=2324, ch1=2207, ch2=   2, ch3= 704, ch4=  88, ch5= 192, ts=1713174384771544,	delta=830,
seq_no=148,	ch0=2420, ch1=1819, ch2=   4, ch3= 712, ch4=  38, ch5= 301, ts=1713174384772387,	delta=843,
seq_no=149,	ch0=2456, ch1=1356, ch2= 301, ch3= 675, ch4=  16, ch5= 404, ts=1713174384773229,	delta=842,
seq_no=150,	ch0=2467, ch1= 968, ch2= 579, ch3= 608, ch4=   0, ch5= 489, ts=1713174384774072,	delta=843,
seq_no=151,	ch0=2469, ch1= 563, ch2= 832, ch3= 513, ch4=   0, ch5= 660, ts=1713174384774920,	delta=848,
seq_no=152,	ch0=2453, ch1= 232, ch2=1363, ch3= 418, ch4=   0, ch5= 621, ts=1713174384775754,	delta=834,
seq_no=153,	ch0=2424, ch1=   2, ch2=1839, ch3= 304, ch4=  52, ch5= 672, ts=1713174384776598,	delta=844,
seq_no=154,	ch0=2373, ch1=  12, ch2=2291, ch3= 210, ch4= 121, ch5= 681, ts=1713174384777498,	delta=900,
seq_no=155,	ch0=2060, ch1=   5, ch2=2627, ch3= 137, ch4= 213, ch5= 684, ts=1713174384778290,	delta=792,
seq_no=156,	ch0=1663, ch1=   6, ch2=2682, ch3=  88, ch4= 320, ch5= 656, ts=1713174384779138,	delta=848,
seq_no=157,	ch0=1252, ch1= 213, ch2=2707, ch3=  39, ch4= 413, ch5= 608, ts=1713174384779969,	delta=831,
seq_no=158,	ch0= 849, ch1= 519, ch2=2736, ch3=  21, ch4= 489, ch5= 548, ts=1713174384781100,	delta=1131,
seq_no=159,	ch0= 489, ch1= 909, ch2=2723, ch3=   4, ch4= 576, ch5= 430, ts=1713174384781702,	delta=602,
seq_no=160,	ch0= 189, ch1=1329, ch2=2717, ch3=  19, ch4= 617, ch5= 352, ts=1713174384782513,	delta=811,
seq_no=161,	ch0=   0, ch1=1724, ch2=2802, ch3=  65, ch4= 663, ch5= 253, ts=1713174384783362,	delta=849,
seq_no=162,	ch0=   0, ch1=2147, ch2=2638, ch3= 146, ch4= 712, ch5= 178, ts=1713174384784184,	delta=822,
seq_no=163,	ch0=   0, ch1=2438, ch2=2206, ch3= 242, ch4= 637, ch5= 188, ts=1713174384785024,	delta=840,
seq_no=164,	ch0=   0, ch1=2528, ch2=1856, ch3= 359, ch4= 637, ch5=  38, ts=1713174384785867,	delta=843,
seq_no=165,	ch0= 226, ch1=2545, ch2=1382, ch3= 472, ch4= 591, ch5=   0, ts=1713174384786718,	delta=851,
seq_no=166,	ch0= 530, ch1=2545, ch2= 927, ch3= 539, ch4= 514, ch5=   6, ts=1713174384787552,	delta=834,
seq_no=167,	ch0= 905, ch1=2551, ch2= 527, ch3= 617, ch4= 421, ch5=   6, ts=1713174384788394,	delta=842,
seq_no=168,	ch0=1307, ch1=2540, ch2= 182, ch3= 667, ch4= 320, ch5=  21, ts=1713174384789235,	delta=841,
seq_no=169,	ch0=1763, ch1=2512, ch2=  24, ch3= 711, ch4= 212, ch5=  69, ts=1713174384790080,	delta=845,
seq_no=170,	ch0=2071, ch1=2452, ch2=  10, ch3= 768, ch4= 125, ch5= 158, ts=1713174384790931,	delta=851,
seq_no=171,	ch0=2371, ch1=2099, ch2=   8, ch3= 696, ch4=  56, ch5= 244, ts=1713174384791767,	delta=836,
seq_no=172,	ch0=2432, ch1=1688, ch2=  14, ch3= 704, ch4=  22, ch5= 335, ts=1713174384792607,	delta=840,
seq_no=173,	ch0=2459, ch1=1240, ch2= 399, ch3= 656, ch4=  17, ch5= 444, ts=1713174384793450,	delta=843,
seq_no=174,	ch0=2463, ch1= 864, ch2= 683, ch3= 586, ch4=  16, ch5= 520, ts=1713174384794291,	delta=841,
seq_no=175,	ch0=2463, ch1= 467, ch2= 992, ch3= 489, ch4=  25, ch5= 674, ts=1713174384795136,	delta=845,
seq_no=176,	ch0=2448, ch1= 164, ch2=1504, ch3= 388, ch4=  21, ch5= 639, ts=1713174384795978,	delta=842,
seq_no=177,	ch0=2414, ch1=  29, ch2=1967, ch3= 275, ch4=  76, ch5= 669, ts=1713174384796824,	delta=846,
seq_no=178,	ch0=2322, ch1=  18, ch2=2412, ch3= 192, ch4= 150, ch5= 676, ts=1713174384797663,	delta=839,
seq_no=179,	ch0=1959, ch1=  13, ch2=2647, ch3= 121, ch4= 238, ch5= 662, ts=1713174384798507,	delta=844,
seq_no=180,	ch0=1554, ch1=  48, ch2=2684, ch3=  69, ch4= 341, ch5= 641, ts=1713174384799356,	delta=849,
seq_no=181,	ch0=1144, ch1= 292, ch2=2719, ch3=  25, ch4= 436, ch5= 585, ts=1713174384800192,	delta=836,
seq_no=182,	ch0= 742, ch1= 619, ch2=2734, ch3=  25, ch4= 515, ch5= 520, ts=1713174384801034,	delta=842,
