seq_no=104,	ch0= 569, ch1=   0, ch2= 619, ch3= 449, ch4= 155, ch5=  45, ts=1714038097070775,	delta=851,
seq_no=105,	ch0= 737, ch1=   0, ch2= 561, ch3= 430, ch4= 133, ch5=  10, ts=1714038097071607,	delta=832,
seq_no=106,	ch0= 668, ch1=  27, ch2= 398, ch3= 358, ch4= 213, ch5=   5, ts=1714038097072446,	delta=839,
seq_no=107,	ch0= 745, ch1=  89, ch2= 301, ch3= 365, ch4= 260, ch5=   0, ts=1714038097073292,	delta=846,
seq_no=108,	ch0= 756, ch1= 184, ch2= 166, ch3= 304, ch4= 306, ch5=   0, ts=1714038097074131,	delta=839,
seq_no=109,	ch0= 742, ch1= 285, ch2=  80, ch3= 242, ch4= 338, ch5=   0, ts=1714038097074983,	delta=852,
seq_no=110,	ch0= 706, ch1= 400, ch2=   9, ch3= 177, ch4= 369, ch5=  12, ts=1714038097075815,	delta=832,
seq_no=111,	ch0= 631, ch1= 501, ch2=   0, ch3= 121, ch4= 386, ch5=  54, ts=1714038097076654,	delta=839,
seq_no=112,	ch0= 546, ch1= 608, ch2=   0, ch3=  72, ch4= 382, ch5= 114, ts=1714038097077496,	delta=842,
seq_no=113,	ch0= 458, ch1= 686, ch2=   0, ch3=  38, ch4= 371, ch5= 182, ts=1714038097078338,	delta=842,
seq_no=114,	ch0= 339, ch1= 737, ch2=  49, ch3=   0, ch4= 329, ch5= 244, ts=1714038097079190,	delta=852,
seq_no=115,	ch0= 231, ch1= 789, ch2= 117, ch3=   0, ch4= 297, ch5= 306, ts=1714038097080376,	delta=1186,
seq_no=116,	ch0= 138, ch1= 799, ch2= 312, ch3=   0, ch4= 289, ch5= 373, ts=1714038097080908,	delta=532,
seq_no=117,	ch0=  96, ch1= 760, ch2= 288, ch3=   0, ch4= 185, ch5= 320, ts=1714038097081719,	delta=811,
seq_no=118,	ch0=  20, ch1= 645, ch2= 435, ch3=  26, ch4= 186, ch5= 394, ts=1714038097082613,	delta=894,
seq_no=119,	ch0=   0, ch1= 647, ch2= 561, ch3=  51, ch4=  78, ch5= 430, ts=1714038097083669,	delta=1056,
seq_no=120,	ch0=   0, ch1= 560, ch2= 661, ch3= 117, ch4=  44, ch5= 416, ts=1714038097084299,	delta=630,
seq_no=121,	ch0=   0, ch1= 460, ch2= 746, ch3= 181, ch4=  18, ch5= 398, ts=1714038097085151,	delta=852,
seq_no=122,	ch0=  29, ch1= 347, ch2= 820, ch3= 245, ch4=   0, ch5= 369, ts=1714038097085939,	delta=788,
seq_no=123,	ch0= 100, ch1= 238, ch2= 853, ch3= 304, ch4=   0, ch5= 332, ts=1714038097086787,	delta=848,
seq_no=124,	ch0= 225, ch1= 136, ch2= 862, ch3= 361, ch4=   0, ch5= 274, ts=1714038097087699,	delta=912,
seq_no=125,	ch0= 272, ch1=  56, ch2= 819, ch3= 359, ch4=   0, ch5= 207, ts=1714038097088457,	delta=758,
seq_no=126,	ch0= 395, ch1=  19, ch2= 822, ch3= 421, ch4=  21, ch5= 149, ts=1714038097089297,	delta=840,
seq_no=127,	ch0= 494, ch1=  50, ch2= 694, ch3= 428, ch4=  57, ch5=  79, ts=1714038097090136,	delta=839,
seq_no=128,	ch0= 590, ch1=   0, ch2= 608, ch3= 421, ch4=  32, ch5=  43, ts=1714038097090991,	delta=855,
seq_no=129,	ch0= 581, ch1=   0, ch2= 498, ch3= 480, ch4= 160, ch5=  64, ts=1714038097091815,	delta=824,
seq_no=130,	ch0= 704, ch1=  69, ch2= 363, ch3= 365, ch4= 226, ch5=   0, ts=1714038097092657,	delta=842,
seq_no=131,	ch0= 756, ch1= 134, ch2= 253, ch3= 352, ch4= 278, ch5=   0, ts=1714038097093497,	delta=840,
seq_no=132,	ch0= 756, ch1= 203, ch2= 151, ch3= 294, ch4= 320, ch5=   0, ts=1714038097094338,	delta=841,
seq_no=133,	ch0= 736, ch1= 305, ch2=  55, ch3= 230, ch4= 352, ch5=   0, ts=1714038097095249,	delta=911,
