seq_no=159,	ch0=2468, ch1= 567, ch2= 884, ch3= 405, ch4=   0, ch5= 369, ts=1713174339492128,	delta=676,
seq_no=160,	ch0=2440, ch1= 345, ch2=1349, ch3= 341, ch4=  23, ch5= 441, ts=1713174339492941,	delta=813,
seq_no=161,	ch0=2424, ch1=   4, ch2=1833, ch3= 241, ch4=  52, ch5= 525, ts=1713174339493781,	delta=840,
seq_no=162,	ch0=2368, ch1=  13, ch2=2284, ch3= 160, ch4=  96, ch5= 534, ts=1713174339494669,	delta=888,
seq_no=163,	ch0=2064, ch1=  16, ch2=2625, ch3=  98, ch4= 169, ch5= 530, ts=1713174339495469,	delta=800,
seq_no=164,	ch0=1668, ch1=  16, ch2=2687, ch3=  65, ch4= 258, ch5= 514, ts=1713174339496302,	delta=833,
seq_no=165,	ch0=1251, ch1= 224, ch2=2716, ch3=  26, ch4= 335, ch5= 480, ts=1713174339497144,	delta=842,
seq_no=166,	ch0= 807, ch1= 537, ch2=2719, ch3=  64, ch4= 383, ch5= 431, ts=1713174339497988,	delta=844,
seq_no=167,	ch0= 473, ch1= 912, ch2=2724, ch3=   0, ch4= 448, ch5= 349, ts=1713174339498839,	delta=851,
seq_no=168,	ch0= 177, ch1=1344, ch2=2712, ch3=   4, ch4= 486, ch5= 269, ts=1713174339499673,	delta=834,
seq_no=169,	ch0=  13, ch1=1752, ch2=2766, ch3=  64, ch4= 516, ch5= 182, ts=1713174339500515,	delta=842,
seq_no=170,	ch0=   0, ch1=2198, ch2=2631, ch3= 111, ch4= 544, ch5= 133, ts=1713174339501354,	delta=839,
seq_no=171,	ch0=   0, ch1=2440, ch2=2214, ch3= 184, ch4= 495, ch5= 169, ts=1713174339502196,	delta=842,
seq_no=172,	ch0=  18, ch1=2520, ch2=1820, ch3= 278, ch4= 509, ch5=  75, ts=1713174339503049,	delta=853,
seq_no=173,	ch0= 226, ch1=2539, ch2=1376, ch3= 370, ch4= 454, ch5=   0, ts=1713174339503881,	delta=832,
seq_no=174,	ch0= 537, ch1=2553, ch2= 927, ch3= 430, ch4= 389, ch5=   0, ts=1713174339504726,	delta=845,
seq_no=175,	ch0= 908, ch1=2557, ch2= 537, ch3= 492, ch4= 330, ch5=   0, ts=1713174339505566,	delta=840,
seq_no=176,	ch0=1305, ch1=2543, ch2= 206, ch3= 532, ch4= 249, ch5=  12, ts=1713174339506409,	delta=843,
seq_no=177,	ch0=1723, ch1=2520, ch2=  23, ch3= 563, ch4= 173, ch5=  48, ts=1713174339507261,	delta=852,
seq_no=178,	ch0=2090, ch1=2435, ch2=  21, ch3= 576, ch4=  98, ch5= 107, ts=1713174339508096,	delta=835,
seq_no=179,	ch0=2371, ch1=2103, ch2=  11, ch3= 578, ch4=  42, ch5= 192, ts=1713174339508938,	delta=842,
seq_no=180,	ch0=2423, ch1=1685, ch2=  20, ch3= 542, ch4=  19, ch5= 272, ts=1713174339509777,	delta=839,
seq_no=181,	ch0=2460, ch1=1270, ch2= 290, ch3= 485, ch4=   0, ch5= 379, ts=1713174339510662,	delta=885,
seq_no=182,	ch0=2463, ch1= 839, ch2= 650, ch3= 444, ch4=   1, ch5= 390, ts=1713174339511471,	delta=809,
seq_no=183,	ch0=2456, ch1= 498, ch2=1118, ch3= 378, ch4=  33, ch5= 461, ts=1713174339512308,	delta=837,
seq_no=184,	ch0=2445, ch1= 153, ch2=1500, ch3= 301, ch4=   4, ch5= 503, ts=1713174339513150,	delta=842,
seq_no=185,	ch0=2416, ch1=  29, ch2=1977, ch3= 224, ch4=  53, ch5= 521, ts=1713174339513991,	delta=841,
seq_no=186,	ch0=2328, ch1=  17, ch2=2410, ch3= 153, ch4= 121, ch5= 533, ts=1713174339514845,	delta=854,
