seq_no=104,	ch0=  85, ch1=1184, ch2=2437, ch3= 175, ch4=   0, ch5= 244, ts=1714036591050283,	delta=843,
seq_no=105,	ch0= 282, ch1= 868, ch2=2574, ch3= 218, ch4=   0, ch5= 228, ts=1714036591051132,	delta=849,
seq_no=106,	ch0= 534, ch1= 576, ch2=2610, ch3= 257, ch4=   0, ch5= 192, ts=1714036591051963,	delta=831,
seq_no=107,	ch0= 790, ch1= 302, ch2=2578, ch3= 254, ch4=   0, ch5= 154, ts=1714036591052808,	delta=845,
seq_no=108,	ch0=1132, ch1= 102, ch2=2508, ch3= 309, ch4=   4, ch5= 108, ts=1714036591053648,	delta=840,
seq_no=109,	ch0=1436, ch1=   0, ch2=2200, ch3= 322, ch4=  36, ch5=  18, ts=1714036591054697,	delta=1049,
seq_no=110,	ch0=1718, ch1=   0, ch2=1930, ch3= 323, ch4= 106, ch5=  21, ts=1714036591055363,	delta=666,
seq_no=111,	ch0=2029, ch1=   0, ch2=1671, ch3= 322, ch4=  78, ch5=   0, ts=1714036591056185,	delta=822,
seq_no=112,	ch0=2122, ch1= 114, ch2=1243, ch3= 239, ch4= 154, ch5=   0, ts=1714036591057026,	delta=841,
seq_no=113,	ch0=2290, ch1= 346, ch2= 960, ch3= 260, ch4= 234, ch5=   0, ts=1714036591057864,	delta=838,
seq_no=114,	ch0=2325, ch1= 593, ch2= 585, ch3= 214, ch4= 216, ch5=   0, ts=1714036591058719,	delta=855,
seq_no=115,	ch0=2284, ch1= 899, ch2= 302, ch3= 165, ch4= 234, ch5=   0, ts=1714036591059550,	delta=831,
seq_no=116,	ch0=2159, ch1=1227, ch2=  90, ch3= 125, ch4= 254, ch5=   3, ts=1714036591060387,	delta=837,
seq_no=117,	ch0=1951, ch1=1549, ch2=   0, ch3=  84, ch4= 268, ch5=  29, ts=1714036591061232,	delta=845,
seq_no=118,	ch0=1695, ch1=1825, ch2=   2, ch3=  49, ch4= 265, ch5=  72, ts=1714036591062073,	delta=841,
seq_no=119,	ch0=1430, ch1=2078, ch2=   0, ch3=  26, ch4= 257, ch5= 102, ts=1714036591063136,	delta=1063,
seq_no=120,	ch0=1095, ch1=2259, ch2= 142, ch3=   0, ch4= 224, ch5= 159, ts=1714036591063795,	delta=659,
seq_no=121,	ch0= 775, ch1=2400, ch2= 378, ch3=   0, ch4= 209, ch5= 205, ts=1714036591064609,	delta=814,
seq_no=122,	ch0= 494, ch1=2408, ch2= 736, ch3=   0, ch4= 164, ch5= 228, ts=1714036591065927,	delta=1318,
seq_no=123,	ch0= 298, ch1=2371, ch2= 976, ch3=   0, ch4= 137, ch5= 227, ts=1714036591066339,	delta=412,
seq_no=124,	ch0=  37, ch1=2127, ch2=1356, ch3=   5, ch4= 162, ch5= 248, ts=1714036591067163,	delta=824,
seq_no=125,	ch0=  46, ch1=1997, ch2=1735, ch3=  53, ch4=  36, ch5= 272, ts=1714036591067977,	delta=814,
seq_no=126,	ch0=   0, ch1=1742, ch2=2012, ch3=  93, ch4=  26, ch5= 276, ts=1714036591068810,	delta=833,
seq_no=127,	ch0=   0, ch1=1440, ch2=2271, ch3= 145, ch4=   0, ch5= 263, ts=1714036591069651,	delta=841,
seq_no=128,	ch0= 133, ch1=1113, ch2=2481, ch3= 194, ch4=   0, ch5= 242, ts=1714036591070493,	delta=842,
seq_no=129,	ch0= 335, ch1= 788, ch2=2579, ch3= 230, ch4=   0, ch5= 217, ts=1714036591071344,	delta=851,
seq_no=130,	ch0= 608, ch1= 504, ch2=2608, ch3= 263, ch4=   0, ch5= 177, ts=1714036591072182,	delta=838,
seq_no=131,	ch0= 875, ch1= 256, ch2=2551, ch3= 266, ch4=   0, ch5= 138, ts=1714036591073020,	delta=838,
seq_no=132,	ch0=1204, ch1=  68, ch2=2438, ch3= 320, ch4=  13, ch5=  91, ts=1714036591073863,	delta=843,
seq_no=133,	ch0=1514, ch1=   0, ch2=2136, ch3= 330, ch4=  39, ch5=  16, ts=1714036591074712,	delta=849,
seq_no=134,	ch0=1787, ch1=   0, ch2=1856, ch3= 335, ch4= 130, ch5=   4, ts=1714036591075546,	delta=834,
seq_no=135,	ch0=2112, ch1=   0, ch2=1583, ch3= 323, ch4=  87, ch5=   2, ts=1714036591076385,	delta=839,
seq_no=136,	ch0=2172, ch1= 157, ch2=1168, ch3= 229, ch4= 149, ch5=   0, ts=1714036591077226,	delta=841,
seq_no=137,	ch0=2302, ch1= 411, ch2= 885, ch3= 244, ch4= 206, ch5=   0, ts=1714036591078071,	delta=845,
seq_no=138,	ch0=2328, ch1= 666, ch2= 514, ch3= 206, ch4= 221, ch5=   0, ts=1714036591078922,	delta=851,
seq_no=139,	ch0=2265, ch1= 975, ch2= 245, ch3= 162, ch4= 237, ch5=   0, ts=1714036591079753,	delta=831,
seq_no=140,	ch0=2115, ch1=1293, ch2=  50, ch3= 115, ch4= 256, ch5=  14, ts=1714036591080594,	delta=841,
seq_no=141,	ch0=1899, ch1=1603, ch2=   0, ch3=  75, ch4= 267, ch5=  33, ts=1714036591081436,	delta=842,
seq_no=142,	ch0=1634, ch1=1894, ch2=   1, ch3=  36, ch4= 266, ch5=  68, ts=1714036591082277,	delta=841,
seq_no=143,	ch0=1322, ch1=2136, ch2=  17, ch3=  21, ch4= 249, ch5= 114, ts=1714036591083129,	delta=852,
seq_no=144,	ch0=1025, ch1=2293, ch2= 192, ch3=   0, ch4= 220, ch5= 160, ts=1714036591083964,	delta=835,
seq_no=145,	ch0= 706, ch1=2408, ch2= 451, ch3=   0, ch4= 202, ch5= 212, ts=1714036591084806,	delta=842,
seq_no=146,	ch0= 436, ch1=2426, ch2= 767, ch3=   0, ch4= 161, ch5= 226, ts=1714036591085646,	delta=840,
seq_no=147,	ch0= 202, ch1=2320, ch2=1038, ch3=   0, ch4= 123, ch5= 327, ts=1714036591086490,	delta=844,
seq_no=148,	ch0=  64, ch1=2227, ch2=1456, ch3=  37, ch4=  74, ch5= 242, ts=1714036591087337,	delta=847,
seq_no=149,	ch0=  55, ch1=1933, ch2=1787, ch3=  53, ch4=  23, ch5= 269, ts=1714036591088179,	delta=842,
seq_no=150,	ch0=   0, ch1=1676, ch2=2090, ch3= 101, ch4=  18, ch5= 274, ts=1714036591089016,	delta=837,
seq_no=151,	ch0=  10, ch1=1353, ch2=2339, ch3= 155, ch4=   0, ch5= 264, ts=1714036591089857,	delta=841,
seq_no=152,	ch0= 184, ch1=1023, ch2=2528, ch3= 206, ch4=   0, ch5= 231, ts=1714036591090707,	delta=850,
seq_no=153,	ch0= 394, ch1= 722, ch2=2594, ch3= 240, ch4=   0, ch5= 207, ts=1714036591091545,	delta=838,
seq_no=154,	ch0= 666, ch1= 440, ch2=2590, ch3= 272, ch4=   0, ch5= 169, ts=1714036591092388,	delta=843,
seq_no=155,	ch0= 938, ch1= 197, ch2=2508, ch3= 320, ch4=   0, ch5= 123, ts=1714036591093226,	delta=838,
seq_no=156,	ch0=1281, ch1=  24, ch2=2425, ch3= 320, ch4=  13, ch5=  85, ts=1714036591094066,	delta=840,
seq_no=157,	ch0=1581, ch1=   0, ch2=2056, ch3= 320, ch4=  41, ch5=  80, ts=1714036591094914,	delta=848,
seq_no=158,	ch0=1864, ch1=   0, ch2=1763, ch3= 310, ch4= 157, ch5=   0, ts=1714036591095973,	delta=1059,
seq_no=159,	ch0=2171, ch1=  30, ch2=1474, ch3= 320, ch4=  98, ch5=   0, ts=1714036591096634,	delta=661,
seq_no=160,	ch0=2207, ch1= 212, ch2=1062, ch3= 229, ch4= 168, ch5=   0, ts=1714036591097447,	delta=813,
seq_no=161,	ch0=2323, ch1= 451, ch2= 783, ch3= 247, ch4= 207, ch5=   0, ts=1714036591098283,	delta=836,
seq_no=162,	ch0=2320, ch1= 720, ch2= 433, ch3= 203, ch4= 234, ch5=   0, ts=1714036591099134,	delta=851,
seq_no=163,	ch0=2232, ch1=1044, ch2= 179, ch3= 147, ch4= 251, ch5=   0, ts=1714036591099965,	delta=831,
seq_no=164,	ch0=2069, ch1=1380, ch2=   8, ch3=  96, ch4= 265, ch5=  20, ts=1714036591100806,	delta=841,
seq_no=165,	ch0=1833, ch1=1680, ch2=   0, ch3=  56, ch4= 270, ch5=  54, ts=1714036591101650,	delta=844,
seq_no=166,	ch0=1564, ch1=1951, ch2=   0, ch3=  29, ch4= 250, ch5=  88, ts=1714036591102535,	delta=885,
seq_no=167,	ch0=1261, ch1=2188, ch2=  58, ch3=   9, ch4= 245, ch5= 112, ts=1714036591103344,	delta=809,
seq_no=168,	ch0= 935, ch1=2324, ch2= 260, ch3=   0, ch4= 224, ch5= 176, ts=1714036591104179,	delta=835,
seq_no=169,	ch0= 629, ch1=2406, ch2= 533, ch3=   0, ch4= 184, ch5= 219, ts=1714036591105017,	delta=838,
seq_no=170,	ch0= 352, ch1=2442, ch2= 856, ch3=   0, ch4= 162, ch5= 241, ts=1714036591105857,	delta=840,
seq_no=171,	ch0= 153, ch1=2304, ch2=1116, ch3=   0, ch4= 122, ch5= 333, ts=1714036591106708,	delta=851,
seq_no=172,	ch0=  39, ch1=2189, ch2=1517, ch3=  26, ch4= 114, ch5= 241, ts=1714036591107540,	delta=832,
seq_no=173,	ch0=   0, ch1=1871, ch2=1862, ch3=  70, ch4=  34, ch5= 266, ts=1714036591108383,	delta=843,
seq_no=174,	ch0=   0, ch1=1600, ch2=2158, ch3= 117, ch4=  10, ch5= 259, ts=1714036591109224,	delta=841,
seq_no=175,	ch0=  38, ch1=1275, ch2=2395, ch3= 167, ch4=   0, ch5= 254, ts=1714036591110065,	delta=841,
seq_no=176,	ch0= 220, ch1= 935, ch2=2545, ch3= 212, ch4=   0, ch5= 224, ts=1714036591110916,	delta=851,
seq_no=177,	ch0= 466, ch1= 644, ch2=2599, ch3= 246, ch4=   0, ch5= 196, ts=1714036591111750,	delta=834,
seq_no=178,	ch0= 763, ch1= 370, ch2=2584, ch3= 294, ch4=   0, ch5= 154, ts=1714036591112592,	delta=842,
seq_no=179,	ch0=1026, ch1= 147, ch2=2486, ch3= 267, ch4=   0, ch5= 118, ts=1714036591113433,	delta=841,
seq_no=180,	ch0=1359, ch1=   0, ch2=2344, ch3= 320, ch4=  14, ch5=  70, ts=1714036591114277,	delta=844,
seq_no=181,	ch0=1662, ch1=   6, ch2=1991, ch3= 328, ch4=  50, ch5=   0, ts=1714036591115126,	delta=849,
seq_no=182,	ch0=1898, ch1=   0, ch2=1686, ch3= 321, ch4= 153, ch5=   5, ts=1714036591116006,	delta=880,
seq_no=183,	ch0=2182, ch1=  84, ch2=1376, ch3= 300, ch4= 121, ch5=   0, ts=1714036591116826,	delta=820,
seq_no=184,	ch0=2224, ch1= 272, ch2= 969, ch3= 218, ch4= 178, ch5=   0, ts=1714036591117651,	delta=825,
seq_no=185,	ch0=2325, ch1= 523, ch2= 651, ch3= 231, ch4= 207, ch5=   0, ts=1714036591118489,	delta=838,
