seq_no=112,	ch0= 878, ch1= 299, ch2=2624, ch3=1499, ch4=   0, ch5= 925, ts=1714036872164963,	delta=841,
seq_no=113,	ch0=1110, ch1= 164, ch2=2472, ch3=1587, ch4=  64, ch5= 711, ts=1714036872165803,	delta=840,
seq_no=114,	ch0=1446, ch1=   0, ch2=2166, ch3=1721, ch4= 251, ch5= 541, ts=1714036872166653,	delta=850,
seq_no=115,	ch0=1715, ch1=   0, ch2=1944, ch3=1764, ch4= 443, ch5= 307, ts=1714036872167485,	delta=832,
seq_no=116,	ch0=1969, ch1=   2, ch2=1621, ch3=1756, ch4= 660, ch5= 185, ts=1714036872168332,	delta=847,
seq_no=117,	ch0=2175, ch1= 130, ch2=1272, ch3=1680, ch4= 876, ch5=  64, ts=1714036872169175,	delta=843,
seq_no=118,	ch0=2294, ch1= 320, ch2= 932, ch3=1511, ch4=1077, ch5=   2, ts=1714036872170016,	delta=841,
seq_no=119,	ch0=2329, ch1= 583, ch2= 604, ch3=1293, ch4=1236, ch5=   0, ts=1714036872171104,	delta=1088,
seq_no=120,	ch0=2284, ch1= 888, ch2= 313, ch3=1028, ch4=1371, ch5=   0, ts=1714036872171752,	delta=648,
seq_no=121,	ch0=2155, ch1=1206, ch2= 100, ch3= 770, ch4=1484, ch5=  84, ts=1714036872172558,	delta=806,
seq_no=122,	ch0=1960, ch1=1527, ch2=   0, ch3= 576, ch4=1536, ch5= 226, ts=1714036872173391,	delta=833,
seq_no=123,	ch0=1702, ch1=1806, ch2=   0, ch3= 394, ch4=1560, ch5= 452, ts=1714036872174235,	delta=844,
seq_no=124,	ch0=1369, ch1=2072, ch2=  31, ch3= 272, ch4=1541, ch5= 711, ts=1714036872175088,	delta=853,
seq_no=125,	ch0=1103, ch1=2310, ch2= 207, ch3=  99, ch4=1474, ch5= 935, ts=1714036872175916,	delta=828,
seq_no=126,	ch0= 802, ch1=2442, ch2= 363, ch3=  38, ch4=1306, ch5=1089, ts=1714036872176757,	delta=841,
seq_no=127,	ch0= 537, ch1=2411, ch2= 674, ch3=   0, ch4=1080, ch5=1301, ts=1714036872177601,	delta=844,
seq_no=128,	ch0= 264, ch1=2368, ch2=1006, ch3=   0, ch4= 844, ch5=1432, ts=1714036872178443,	delta=842,
seq_no=129,	ch0=  73, ch1=2230, ch2=1346, ch3=  50, ch4= 627, ch5=1537, ts=1714036872179293,	delta=850,
seq_no=130,	ch0=   0, ch1=2008, ch2=1695, ch3= 225, ch4= 423, ch5=1606, ts=1714036872180124,	delta=831,
seq_no=131,	ch0=   0, ch1=1751, ch2=1999, ch3= 472, ch4= 282, ch5=1619, ts=1714036872180969,	delta=845,
seq_no=132,	ch0=   0, ch1=1440, ch2=2279, ch3= 715, ch4= 149, ch5=1584, ts=1714036872181813,	delta=844,
seq_no=133,	ch0= 125, ch1=1123, ch2=2515, ch3= 976, ch4=  34, ch5=1497, ts=1714036872182663,	delta=850,
seq_no=134,	ch0= 342, ch1= 859, ch2=2583, ch3=1195, ch4=   0, ch5=1295, ts=1714036872183496,	delta=833,
seq_no=135,	ch0= 684, ch1= 512, ch2=2608, ch3=1362, ch4=   0, ch5=1092, ts=1714036872184337,	delta=841,
seq_no=136,	ch0= 839, ch1= 251, ch2=2535, ch3=1454, ch4=   0, ch5= 846, ts=1714036872185180,	delta=843,
seq_no=137,	ch0=1216, ch1=  82, ch2=2431, ch3=1654, ch4= 101, ch5= 674, ts=1714036872186025,	delta=845,
seq_no=138,	ch0=1555, ch1=  64, ch2=2145, ch3=1745, ch4= 292, ch5= 399, ts=1714036872186876,	delta=851,
seq_no=139,	ch0=1784, ch1=   5, ch2=1856, ch3=1774, ch4= 486, ch5= 285, ts=1714036872187762,	delta=886,
seq_no=140,	ch0=2034, ch1=   8, ch2=1522, ch3=1753, ch4= 724, ch5= 150, ts=1714036872188558,	delta=796,
seq_no=141,	ch0=2208, ch1= 168, ch2=1174, ch3=1638, ch4= 942, ch5=  39, ts=1714036872189398,	delta=840,
seq_no=142,	ch0=2311, ch1= 396, ch2= 834, ch3=1452, ch4=1112, ch5=   1, ts=1714036872190241,	delta=843,
seq_no=143,	ch0=2325, ch1= 673, ch2= 521, ch3=1223, ch4=1271, ch5=   0, ts=1714036872191088,	delta=847,
seq_no=144,	ch0=2272, ch1= 990, ch2= 257, ch3= 967, ch4=1398, ch5=  14, ts=1714036872191925,	delta=837,
seq_no=145,	ch0=2112, ch1=1283, ch2=  37, ch3= 719, ch4=1516, ch5= 117, ts=1714036872192762,	delta=837,
seq_no=146,	ch0=1895, ch1=1585, ch2=   0, ch3= 513, ch4=1560, ch5= 298, ts=1714036872193609,	delta=847,
seq_no=147,	ch0=1592, ch1=1902, ch2=   0, ch3= 358, ch4=1560, ch5= 517, ts=1714036872194451,	delta=842,
seq_no=148,	ch0=1315, ch1=2140, ch2=  64, ch3= 196, ch4=1528, ch5= 750, ts=1714036872195301,	delta=850,
seq_no=149,	ch0=1083, ch1=2330, ch2= 163, ch3=  76, ch4=1421, ch5= 896, ts=1714036872196136,	delta=835,
seq_no=150,	ch0= 743, ch1=2352, ch2= 469, ch3=   0, ch4=1269, ch5=1173, ts=1714036872196979,	delta=843,
seq_no=151,	ch0= 440, ch1=2415, ch2= 757, ch3=   0, ch4=1015, ch5=1324, ts=1714036872197819,	delta=840,
seq_no=152,	ch0= 200, ch1=2353, ch2=1100, ch3=   0, ch4= 782, ch5=1453, ts=1714036872198669,	delta=850,
seq_no=153,	ch0=  27, ch1=2168, ch2=1444, ch3=  96, ch4= 567, ch5=1567, ts=1714036872199504,	delta=835,
seq_no=154,	ch0=   0, ch1=1945, ch2=1769, ch3= 286, ch4= 392, ch5=1605, ts=1714036872200348,	delta=844,
seq_no=155,	ch0=   0, ch1=1667, ch2=2083, ch3= 533, ch4= 246, ch5=1615, ts=1714036872201192,	delta=844,
seq_no=156,	ch0=   4, ch1=1359, ch2=2384, ch3= 790, ch4= 104, ch5=1560, ts=1714036872202032,	delta=840,
seq_no=157,	ch0= 171, ch1=1110, ch2=2511, ch3=1047, ch4=  10, ch5=1402, ts=1714036872202881,	delta=849,
seq_no=158,	ch0= 396, ch1= 710, ch2=2595, ch3=1231, ch4=   0, ch5=1249, ts=1714036872203887,	delta=1006,
