seq_no=142,	ch0=1154, ch1= 101, ch2=2433, ch3= 791, ch4=  36, ch5= 320, ts=1714036671537185,	delta=842,
seq_no=143,	ch0=1458, ch1=   0, ch2=2199, ch3= 820, ch4= 116, ch5= 220, ts=1714036671538030,	delta=845,
seq_no=144,	ch0=1758, ch1=   5, ch2=1915, ch3= 840, ch4= 207, ch5= 117, ts=1714036671538880,	delta=850,
seq_no=145,	ch0=1979, ch1=   5, ch2=1671, ch3= 822, ch4= 340, ch5=  57, ts=1714036671539714,	delta=834,
seq_no=146,	ch0=2199, ch1= 129, ch2=1216, ch3= 781, ch4= 444, ch5=   0, ts=1714036671540556,	delta=842,
seq_no=147,	ch0=2297, ch1= 320, ch2= 883, ch3= 706, ch4= 583, ch5=   0, ts=1714036671541398,	delta=842,
seq_no=148,	ch0=2272, ch1= 618, ch2= 576, ch3= 634, ch4= 608, ch5=   0, ts=1714036671542242,	delta=844,
seq_no=149,	ch0=2255, ch1= 978, ch2= 320, ch3= 459, ch4= 688, ch5=   0, ts=1714036671543093,	delta=851,
seq_no=150,	ch0=2154, ch1=1232, ch2=  13, ch3= 352, ch4= 748, ch5= 109, ts=1714036671543926,	delta=833,
seq_no=151,	ch0=1939, ch1=1437, ch2=   0, ch3= 238, ch4= 847, ch5= 102, ts=1714036671544766,	delta=840,
seq_no=152,	ch0=1682, ch1=1850, ch2=   0, ch3= 152, ch4= 766, ch5= 229, ts=1714036671545610,	delta=844,
seq_no=153,	ch0=1397, ch1=2097, ch2=   1, ch3=  77, ch4= 733, ch5= 329, ts=1714036671546453,	delta=843,
seq_no=154,	ch0=1070, ch1=2295, ch2= 165, ch3=  14, ch4= 699, ch5= 438, ts=1714036671547302,	delta=849,
seq_no=155,	ch0= 761, ch1=2400, ch2= 404, ch3=   0, ch4= 608, ch5= 540, ts=1714036671548139,	delta=837,
seq_no=156,	ch0= 479, ch1=2409, ch2= 691, ch3=   1, ch4= 508, ch5= 625, ts=1714036671548982,	delta=843,
seq_no=157,	ch0= 229, ch1=2353, ch2=1016, ch3=   0, ch4= 393, ch5= 683, ts=1714036671549822,	delta=840,
seq_no=158,	ch0=  57, ch1=2203, ch2=1387, ch3=  37, ch4= 277, ch5= 746, ts=1714036671550825,	delta=1003,
seq_no=159,	ch0=   0, ch1=1985, ch2=1701, ch3= 125, ch4= 177, ch5= 752, ts=1714036671551541,	delta=716,
seq_no=160,	ch0=   0, ch1=1701, ch2=2031, ch3= 226, ch4=  79, ch5= 761, ts=1714036671552364,	delta=823,
seq_no=161,	ch0=   0, ch1=1390, ch2=2320, ch3= 394, ch4=  23, ch5= 770, ts=1714036671553197,	delta=833,
seq_no=162,	ch0= 138, ch1=1059, ch2=2595, ch3= 470, ch4=   3, ch5= 683, ts=1714036671554081,	delta=884,
seq_no=163,	ch0= 407, ch1= 771, ch2=2547, ch3= 579, ch4=   0, ch5= 531, ts=1714036671554895,	delta=814,
seq_no=164,	ch0= 623, ch1= 474, ch2=2602, ch3= 676, ch4=   0, ch5= 507, ts=1714036671555725,	delta=830,
seq_no=165,	ch0= 920, ch1= 235, ch2=2546, ch3= 752, ch4=   1, ch5= 385, ts=1714036671556566,	delta=841,
seq_no=166,	ch0=1228, ch1=  42, ch2=2380, ch3= 806, ch4=  58, ch5= 280, ts=1714036671557405,	delta=839,
seq_no=167,	ch0=1538, ch1=   0, ch2=2131, ch3= 838, ch4= 144, ch5= 181, ts=1714036671558247,	delta=842,
seq_no=168,	ch0=1810, ch1=   0, ch2=1838, ch3= 834, ch4= 240, ch5= 110, ts=1714036671559099,	delta=852,
seq_no=169,	ch0=2135, ch1=  21, ch2=1508, ch3= 832, ch4= 333, ch5=  34, ts=1714036671559932,	delta=833,
seq_no=170,	ch0=2205, ch1= 186, ch2=1145, ch3= 736, ch4= 468, ch5=   0, ts=1714036671560776,	delta=844,
seq_no=171,	ch0=2304, ch1= 413, ch2= 860, ch3= 682, ch4= 560, ch5=  23, ts=1714036671561618,	delta=842,
seq_no=172,	ch0=2325, ch1= 771, ch2= 481, ch3= 576, ch4= 647, ch5=   0, ts=1714036671562456,	delta=838,
seq_no=173,	ch0=2243, ch1= 967, ch2= 219, ch3= 424, ch4= 637, ch5=   0, ts=1714036671563309,	delta=853,
seq_no=174,	ch0=2041, ch1=1327, ch2=  40, ch3= 249, ch4= 737, ch5=  52, ts=1714036671564144,	delta=835,
seq_no=175,	ch0=1869, ch1=1645, ch2=  59, ch3= 207, ch4= 785, ch5= 145, ts=1714036671564988,	delta=844,
seq_no=176,	ch0=1606, ch1=1914, ch2=   2, ch3= 137, ch4= 757, ch5= 251, ts=1714036671565831,	delta=843,
seq_no=177,	ch0=1313, ch1=2166, ch2=  30, ch3=  58, ch4= 734, ch5= 367, ts=1714036671566677,	delta=846,
seq_no=178,	ch0= 996, ch1=2329, ch2= 215, ch3=   0, ch4= 664, ch5= 475, ts=1714036671567514,	delta=837,
seq_no=179,	ch0= 700, ch1=2397, ch2= 475, ch3=   0, ch4= 576, ch5= 569, ts=1714036671568354,	delta=840,
seq_no=180,	ch0= 421, ch1=2414, ch2= 792, ch3=   0, ch4= 480, ch5= 641, ts=1714036671569199,	delta=845,
seq_no=181,	ch0= 182, ch1=2300, ch2=1129, ch3=   2, ch4= 365, ch5= 706, ts=1714036671570042,	delta=843,
seq_no=182,	ch0=   5, ch1=2147, ch2=1478, ch3=  53, ch4= 245, ch5= 769, ts=1714036671570890,	delta=848,
seq_no=183,	ch0=   0, ch1=1928, ch2=1810, ch3= 156, ch4= 157, ch5= 773, ts=1714036671571729,	delta=839,
seq_no=184,	ch0=  27, ch1=1641, ch2=2071, ch3= 261, ch4=  86, ch5= 658, ts=1714036671572568,	delta=839,
